,Activity,Product,Resource,Check_resource_type,Machine_id,Request moment,Retrieve moment,Start,Finish
0,1,10,Harvesting tanks A,Harvesting tanks A,0,3,3,3,69
1,1,5,Harvesting tanks A,Harvesting tanks A,1,50,50,50,70
2,1,3,Harvesting tanks A,Harvesting tanks A,3,42,42,42,82
3,0,10,Fermenter_1,Fermenter_1,0,3,3,3,94
4,2,5,Harvesting tanks A,Harvesting tanks A,2,50,50,50,104
5,3,10,Harvesting tanks B,Harvesting tanks B,1,69,69,69,128
6,2,10,Filters A,Filters A,0,98,98,98,128
7,0,3,Fermenter_2,Fermenter_2,0,15,15,15,137
8,2,3,Harvesting tanks A,Harvesting tanks A,0,42,69,69,137
9,0,5,Fermenter_3,Fermenter_3,0,9,9,9,144
10,4,10,Buffer tanks,Buffer tanks,1,98,98,98,153
11,5,10,Microfilter,Microfilter,1,100,100,100,153
12,4,3,Harvesting tanks B,Harvesting tanks B,5,42,42,42,155
13,3,3,Filters A,Filters A,1,132,132,132,155
14,2,0,Harvesting tanks B,Harvesting tanks B,0,132,132,132,158
15,1,0,Filters B,Filters B,0,147,147,147,158
16,5,3,Filters A,Filters A,2,144,144,144,161
17,0,0,Fermenter_5,Fermenter_5,0,0,0,0,162
18,0,2,Fermenter_4,Fermenter_4,0,6,6,6,168
19,0,9,Fermenter_1,Fermenter_1,0,12,94,94,170
20,6,3,Harvesting tanks B,Harvesting tanks B,1,111,128,128,178
21,8,5,Harvesting tanks B,Harvesting tanks B,4,50,50,50,181
22,3,0,Buffer tanks,Buffer tanks,0,147,147,147,189
23,4,0,Microfilter,Microfilter,0,147,147,147,189
24,1,2,Harvesting tanks B,Harvesting tanks B,2,145,145,145,195
25,3,5,Buffer tanks,Buffer tanks,1,120,153,153,201
26,4,5,Microfilter,Microfilter,1,112,153,153,209
27,1,9,Filters A,Filters A,0,186,186,186,215
28,2,2,Buffer tanks,Buffer tanks,2,160,160,160,218
29,3,2,Microfilter,Microfilter,2,160,160,160,218
30,0,7,Fermenter_2,Fermenter_2,0,21,137,137,219
31,2,9,Harvesting tanks B,Harvesting tanks B,5,146,155,155,224
32,2,7,Harvesting tanks B,Harvesting tanks B,0,196,196,196,228
33,1,7,Filters A,Filters A,1,212,212,212,228
34,5,2,Harvesting tanks B,Harvesting tanks B,3,145,145,145,229
35,4,2,Filters B,Filters B,0,160,160,160,229
36,6,10,Stabilization tanks,Stabilization tanks,1,153,153,153,242
37,6,5,Microfilter,Microfilter,0,120,189,189,247
38,0,8,Fermenter_3,Fermenter_3,0,24,144,144,250
39,6,2,Buffer tanks,Buffer tanks,3,195,195,195,252
40,7,2,Microfilter,Microfilter,3,195,195,195,252
41,1,6,Harvesting tanks A,Harvesting tanks A,1,232,232,232,257
42,9,5,Buffer tanks,Buffer tanks,1,128,201,201,259
43,5,5,Buffer tanks,Buffer tanks,0,104,189,189,263
44,10,5,Microfilter,Microfilter,1,128,209,209,267
45,14,3,Stabilization tanks,Stabilization tanks,6,168,168,168,269
46,5,0,Stabilization tanks,Stabilization tanks,0,189,189,189,278
47,13,5,Stabilization tanks,Stabilization tanks,3,128,128,128,279
48,14,5,Stabilization tanks,Stabilization tanks,4,163,163,163,279
49,8,3,Microfilter,Microfilter,0,134,247,247,281
50,9,3,Buffer tanks,Buffer tanks,1,146,259,259,284
51,10,3,Buffer tanks,Buffer tanks,0,158,263,263,284
52,11,3,Microfilter,Microfilter,3,146,252,252,285
53,7,3,Buffer tanks,Buffer tanks,3,132,252,252,288
54,2,8,Harvesting tanks B,Harvesting tanks B,1,230,230,230,289
55,1,8,Filters A,Filters A,2,261,261,261,289
56,15,5,Stabilization tanks,Stabilization tanks,5,199,199,199,292
57,6,8,Harvesting tanks B,Harvesting tanks B,4,230,230,230,298
58,5,8,Filters A,Filters A,0,261,261,261,298
59,13,3,Microfilter,Microfilter,1,146,267,267,301
60,11,5,Buffer tanks,Buffer tanks,2,112,218,218,305
61,7,5,Filters B,Filters B,0,104,229,229,306
62,0,84,Fermenter_5,Fermenter_5,0,216,216,216,312
63,12,5,Microfilter,Microfilter,2,104,218,218,313
64,2,84,Harvesting tanks B,Harvesting tanks B,3,297,297,297,318
65,12,3,Buffer tanks,Buffer tanks,1,144,284,284,320
66,0,23,Fermenter_2,Fermenter_2,0,30,219,219,321
67,0,12,Fermenter_4,Fermenter_4,0,36,168,168,326
68,2,6,Harvesting tanks A,Harvesting tanks A,3,232,232,232,327
69,4,7,Microfilter,Microfilter,3,212,285,285,327
70,3,7,Buffer tanks,Buffer tanks,3,212,288,288,330
71,4,9,Microfilter,Microfilter,0,189,281,281,331
72,5,9,Stabilization tanks,Stabilization tanks,7,239,239,239,332
73,3,9,Buffer tanks,Buffer tanks,0,186,284,284,337
74,7,8,Microfilter,Microfilter,1,262,301,301,337
75,0,6,Fermenter_1,Fermenter_1,0,18,170,170,339
76,4,6,Harvesting tanks B,Harvesting tanks B,5,232,232,232,342
77,3,8,Buffer tanks,Buffer tanks,2,261,305,305,342
78,3,6,Filters A,Filters A,2,327,327,327,342
79,6,6,Harvesting tanks B,Harvesting tanks B,0,317,317,317,344
80,5,6,Filters A,Filters A,0,333,333,333,344
81,8,2,Stabilization tanks,Stabilization tanks,2,218,218,218,345
82,5,7,Stabilization tanks,Stabilization tanks,8,254,254,254,347
83,4,12,Harvesting tanks B,Harvesting tanks B,2,304,304,304,349
84,8,8,Microfilter,Microfilter,2,262,313,313,349
85,3,12,Filters A,Filters A,1,319,319,319,349
