,Activity,Product,Resource,Check_resource_type,Machine_id,Request moment,Retrieve moment,Start,Finish
0,1,0,Harvesting tanks A,Harvesting tanks A,1,39,39,39,79
1,1,13,Harvesting tanks A,Harvesting tanks A,0,9,9,9,90
2,0,4,Fermenter_2,Fermenter_2,0,0,0,0,102
3,0,13,Fermenter_3,Fermenter_3,0,9,9,9,107
4,2,0,Harvesting tanks A,Harvesting tanks A,2,39,39,39,107
5,3,13,Harvesting tanks B,Harvesting tanks B,1,90,90,90,127
6,2,13,Filters A,Filters A,1,99,99,99,127
7,0,0,Fermenter_1,Fermenter_1,0,12,12,12,135
8,5,13,Harvesting tanks B,Harvesting tanks B,2,90,90,90,136
9,4,13,Filters A,Filters A,2,99,99,99,136
10,6,13,Buffer tanks,Buffer tanks,3,99,99,99,147
11,1,4,Buffer tanks,Buffer tanks,0,117,117,117,148
12,2,4,Microfilter,Microfilter,0,119,119,119,148
13,4,0,Harvesting tanks B,Harvesting tanks B,3,39,39,39,152
14,3,0,Filters A,Filters A,1,129,129,129,152
15,9,13,Microfilter,Microfilter,3,99,99,99,153
16,4,4,Harvesting tanks B,Harvesting tanks B,0,71,71,71,158
17,3,4,Filters A,Filters A,0,117,117,117,158
18,6,0,Harvesting tanks B,Harvesting tanks B,4,120,120,120,160
19,5,4,Buffer tanks,Buffer tanks,1,132,132,132,160
20,6,4,Microfilter,Microfilter,1,132,132,132,160
21,5,0,Filters A,Filters A,2,142,142,142,160
22,1,1,Harvesting tanks A,Harvesting tanks A,3,102,102,102,162
23,8,13,Buffer tanks,Buffer tanks,0,133,148,148,168
24,7,4,Buffer tanks,Buffer tanks,2,145,145,145,171
25,8,4,Microfilter,Microfilter,2,145,145,145,171
26,8,0,Microfilter,Microfilter,3,131,153,153,187
27,0,1,Fermenter_4,Fermenter_4,0,30,30,30,188
28,10,0,Buffer tanks,Buffer tanks,2,157,171,171,190
29,11,0,Microfilter,Microfilter,1,143,160,160,193
30,9,0,Buffer tanks,Buffer tanks,0,143,168,168,193
31,7,0,Buffer tanks,Buffer tanks,1,129,160,160,196
32,3,1,Harvesting tanks B,Harvesting tanks B,5,102,102,102,201
33,7,13,Buffer tanks,Buffer tanks,3,99,147,147,201
34,2,1,Filters A,Filters A,1,180,180,180,201
35,10,13,Microfilter,Microfilter,0,99,148,148,202
36,0,10,Fermenter_2,Fermenter_2,0,3,102,102,204
37,13,0,Microfilter,Microfilter,2,144,171,171,206
38,0,25,Fermenter_3,Fermenter_3,0,15,107,107,213
39,5,1,Buffer tanks,Buffer tanks,1,198,198,198,220
40,1,9,Harvesting tanks A,Harvesting tanks A,1,197,197,197,222
41,6,1,Microfilter,Microfilter,3,182,187,187,225
42,4,1,Buffer tanks,Buffer tanks,0,180,193,193,225
43,12,0,Buffer tanks,Buffer tanks,2,142,190,190,227
44,8,1,Harvesting tanks B,Harvesting tanks B,1,165,165,165,233
45,7,1,Filters A,Filters A,0,198,198,198,233
46,11,13,Stabilization tanks,Stabilization tanks,1,147,147,147,242
47,9,1,Buffer tanks,Buffer tanks,3,206,206,206,245
48,10,1,Microfilter,Microfilter,1,212,212,212,245
49,0,50,Fermenter_5,Fermenter_5,0,150,150,150,246
50,2,10,Microfilter,Microfilter,0,221,221,221,250
51,1,10,Buffer tanks,Buffer tanks,1,219,220,220,251
52,2,25,Harvesting tanks B,Harvesting tanks B,3,193,193,193,252
53,1,25,Filters A,Filters A,1,224,224,224,252
54,2,50,Harvesting tanks B,Harvesting tanks B,1,231,233,233,254
55,4,10,Harvesting tanks B,Harvesting tanks B,2,173,173,173,260
56,3,10,Filters A,Filters A,2,219,219,219,260
57,6,25,Harvesting tanks B,Harvesting tanks B,0,193,193,193,261
58,5,10,Buffer tanks,Buffer tanks,0,234,234,234,262
59,6,10,Microfilter,Microfilter,2,234,234,234,262
60,9,4,Stabilization tanks,Stabilization tanks,0,148,148,148,264
61,14,0,Stabilization tanks,Stabilization tanks,2,165,165,165,268
62,5,25,Filters A,Filters A,0,224,233,233,270
63,7,10,Buffer tanks,Buffer tanks,2,247,247,247,273
64,8,10,Microfilter,Microfilter,3,247,247,247,273
