,Activity,Product,Resource,Check_resource_type,Machine_id,Request moment,Retrieve moment,Start,Finish
0,1,1,Harvesting tanks A,Harvesting tanks A,1,26,26,26,46
1,0,20,Fermenter_5,Fermenter_5,0,12,12,12,60
2,2,10,Buffer tanks,Buffer tanks,1,60,60,60,60
3,0,10,Fermenter_2,Fermenter_2,0,3,3,3,65
4,1,20,Filters A,Filters A,2,57,57,57,69
5,0,1,Fermenter_3,Fermenter_3,0,6,6,6,73
6,2,20,Harvesting tanks B,Harvesting tanks B,5,53,53,53,73
7,1,23,Harvesting tanks A,Harvesting tanks A,3,45,45,45,75
8,1,10,Harvesting tanks A,Harvesting tanks A,0,24,24,24,76
9,2,1,Harvesting tanks A,Harvesting tanks A,2,26,26,26,80
10,0,32,Fermenter_1,Fermenter_1,0,0,0,0,82
11,3,10,Buffer tanks,Buffer tanks,2,60,60,60,88
12,4,10,Microfilter,Microfilter,1,60,60,60,88
13,0,23,Fermenter_4,Fermenter_4,0,9,9,9,92
14,0,27,Fermenter_5,Fermenter_5,0,45,60,60,108
15,1,32,Filters B,Filters B,0,78,78,78,108
16,1,6,Harvesting tanks A,Harvesting tanks A,3,80,80,80,108
17,3,23,Filters A,Filters A,0,83,83,83,109
18,7,10,Buffer tanks,Buffer tanks,3,50,50,50,112
19,8,10,Microfilter,Microfilter,2,50,50,50,112
20,2,23,Harvesting tanks A,Harvesting tanks A,1,45,46,46,116
21,2,32,Harvesting tanks B,Harvesting tanks B,0,70,70,70,116
22,10,10,Microfilter,Microfilter,3,55,55,55,117
23,1,27,Filters A,Filters A,2,105,105,105,117
24,0,21,Fermenter_3,Fermenter_3,0,48,73,73,121
25,2,27,Harvesting tanks B,Harvesting tanks B,5,101,101,101,121
26,9,10,Buffer tanks,Buffer tanks,1,55,60,60,122
27,0,6,Fermenter_2,Fermenter_2,0,15,65,65,126
28,6,10,Harvesting tanks B,Harvesting tanks B,1,24,24,24,130
29,3,32,Buffer tanks,Buffer tanks,0,78,78,78,130
30,4,32,Microfilter,Microfilter,0,78,78,78,130
