,Activity,Product,Resource,Check_resource_type,Machine_id,Request moment,Retrieve moment,Start,Finish
0,0,1,Fermenter_2,Fermenter_2,0,3,3,3,85
1,2,1,Harvesting tanks B,Harvesting tanks B,1,62,62,62,94
2,1,1,Filters A,Filters A,0,78,78,78,94
3,3,1,Buffer tanks,Buffer tanks,1,78,78,78,120
4,4,1,Microfilter,Microfilter,1,78,78,78,120
5,0,7,Fermenter_4,Fermenter_4,0,21,21,21,127
6,1,4,Harvesting tanks A,Harvesting tanks A,0,70,70,70,134
7,0,0,Fermenter_3,Fermenter_3,0,0,0,0,165
8,2,7,Harvesting tanks B,Harvesting tanks B,4,107,107,107,166
9,1,7,Filters A,Filters A,0,138,138,138,166
10,6,7,Harvesting tanks B,Harvesting tanks B,5,107,107,107,175
11,3,7,Buffer tanks,Buffer tanks,1,138,138,138,175
12,7,7,Microfilter,Microfilter,1,139,139,139,175
13,2,4,Harvesting tanks A,Harvesting tanks A,1,70,70,70,182
14,0,4,Fermenter_1,Fermenter_1,0,12,12,12,193
15,5,7,Filters A,Filters A,0,138,166,166,203
16,4,4,Harvesting tanks B,Harvesting tanks B,2,70,70,70,206
17,3,4,Filters A,Filters A,1,188,188,188,206
18,1,6,Harvesting tanks A,Harvesting tanks A,2,180,180,180,209
19,6,4,Harvesting tanks B,Harvesting tanks B,3,169,169,169,210
20,5,4,Filters A,Filters A,2,192,192,192,210
21,8,7,Microfilter,Microfilter,1,139,175,175,211
22,4,7,Buffer tanks,Buffer tanks,1,138,175,175,212
23,5,1,Stabilization tanks,Stabilization tanks,1,120,120,120,213
24,7,4,Buffer tanks,Buffer tanks,2,188,188,188,222
25,8,4,Microfilter,Microfilter,2,189,189,189,222
26,9,4,Buffer tanks,Buffer tanks,3,192,192,192,226
27,10,4,Microfilter,Microfilter,3,193,193,193,226
28,10,7,Microfilter,Microfilter,1,150,211,211,245
29,9,7,Buffer tanks,Buffer tanks,1,150,212,212,246
30,2,0,Harvesting tanks B,Harvesting tanks B,0,135,135,135,248
31,1,0,Filters B,Filters B,0,150,150,150,248
32,2,6,Harvesting tanks A,Harvesting tanks A,3,180,180,180,252
33,3,6,Harvesting tanks B,Harvesting tanks B,1,180,180,180,258
34,11,7,Buffer tanks,Buffer tanks,2,150,222,222,258
35,12,7,Microfilter,Microfilter,2,150,222,222,258
36,3,0,Buffer tanks,Buffer tanks,0,150,150,150,274
37,4,0,Microfilter,Microfilter,0,150,150,150,274
38,13,7,Stabilization tanks,Stabilization tanks,3,150,150,150,275
39,1,2,Harvesting tanks A,Harvesting tanks A,0,255,255,255,279
40,0,6,Fermenter_2,Fermenter_2,0,18,85,85,284
41,5,6,Harvesting tanks B,Harvesting tanks B,4,180,180,180,295
42,4,6,Filters A,Filters A,0,241,241,241,295
43,0,5,Fermenter_1,Fermenter_1,0,15,193,193,305
44,2,5,Harvesting tanks B,Harvesting tanks B,3,280,280,280,305
45,1,5,Filters B,Filters B,0,290,290,290,305
46,6,6,Buffer tanks,Buffer tanks,3,277,277,277,313
47,11,4,Stabilization tanks,Stabilization tanks,2,222,222,222,319
48,2,2,Buffer tanks,Buffer tanks,0,279,279,279,323
49,3,2,Microfilter,Microfilter,2,279,279,279,323
50,0,2,Fermenter_3,Fermenter_3,0,6,165,165,324
51,8,6,Harvesting tanks B,Harvesting tanks B,5,219,219,219,324
52,7,6,Filters A,Filters A,1,289,289,289,324
53,5,2,Harvesting tanks B,Harvesting tanks B,2,255,255,255,325
54,4,2,Filters A,Filters A,2,279,279,279,325
55,10,6,Microfilter,Microfilter,3,287,287,287,328
56,9,6,Buffer tanks,Buffer tanks,1,241,246,246,333
57,3,5,Buffer tanks,Buffer tanks,0,290,323,323,342
58,4,5,Microfilter,Microfilter,2,290,323,323,342
59,6,5,Microfilter,Microfilter,3,295,328,328,346
60,7,2,Microfilter,Microfilter,0,309,309,309,348
61,5,5,Buffer tanks,Buffer tanks,1,295,333,333,351
62,6,2,Buffer tanks,Buffer tanks,3,309,313,313,352
63,11,6,Buffer tanks,Buffer tanks,2,274,274,274,355
64,12,6,Microfilter,Microfilter,1,243,245,245,357
65,7,5,Buffer tanks,Buffer tanks,0,300,342,342,359
66,8,5,Microfilter,Microfilter,2,300,342,342,359
67,5,0,Stabilization tanks,Stabilization tanks,0,274,274,274,363
68,0,8,Fermenter_2,Fermenter_2,0,24,284,284,386
69,9,5,Stabilization tanks,Stabilization tanks,6,309,309,309,406
