,Activity,Product,Equipment type,Check_resource_type,Machine,Request moment,Claim time,Start use,End use,Release time
0,1,0,Harvesting tanks A,Harvesting tanks A,0,41,41,41,95,95
1,1,3,Harvesting tanks B,Harvesting tanks B,3,54,54,54,110,110
2,2,0,Buffer tanks,Buffer tanks,0,113,113,113,114,114
3,2,3,Harvesting tanks A,Harvesting tanks A,2,54,54,54,115,115
4,0,0,Fermenter_2,Fermenter_2,0,0,0,0,125,125
5,0,3,Fermenter_3,Fermenter_3,0,9,9,9,126,126
6,1,2,Harvesting tanks A,Harvesting tanks A,1,78,78,78,138,138
7,4,0,Microfilter,Microfilter,0,113,113,113,141,141
8,3,0,Buffer tanks,Buffer tanks,1,114,114,114,141,141
9,4,3,Harvesting tanks B,Harvesting tanks B,4,54,54,54,142,142
10,3,3,Filters A,Filters A,2,90,90,90,142,142
11,6,0,Harvesting tanks B,Harvesting tanks B,0,41,41,41,147,147
12,5,0,Filters B,Filters B,0,95,95,95,147,147
13,7,0,Buffer tanks,Buffer tanks,2,95,95,95,157,157
14,8,0,Microfilter,Microfilter,1,95,95,95,157,157
15,0,2,Fermenter_4,Fermenter_4,0,6,6,6,164,164
16,9,3,Harvesting tanks B,Harvesting tanks B,5,108,108,108,165,165
17,9,0,Buffer tanks,Buffer tanks,3,104,104,104,166,166
18,10,0,Microfilter,Microfilter,2,104,104,104,166,166
19,3,2,Harvesting tanks B,Harvesting tanks B,1,78,78,78,177,177
20,2,2,Filters A,Filters A,0,156,156,156,177,177
21,8,3,Filters A,Filters A,2,126,142,142,181,181
22,1,1,Harvesting tanks A,Harvesting tanks A,3,155,155,155,183,183
23,4,2,Buffer tanks,Buffer tanks,0,156,156,156,188,188
24,7,3,Microfilter,Microfilter,1,125,157,157,191,191
25,6,2,Microfilter,Microfilter,3,158,158,158,196,196
26,5,2,Buffer tanks,Buffer tanks,1,174,174,174,196,196
27,8,2,Harvesting tanks B,Harvesting tanks B,2,141,141,141,209,209
28,7,2,Filters A,Filters A,1,174,174,174,209,209
29,9,2,Buffer tanks,Buffer tanks,2,182,182,182,221,221
30,10,2,Microfilter,Microfilter,0,188,188,188,221,221
31,6,3,Buffer tanks,Buffer tanks,0,126,188,188,221,221
32,2,1,Harvesting tanks A,Harvesting tanks A,0,155,155,155,227,227
33,5,3,Buffer tanks,Buffer tanks,3,90,166,166,230,230
34,0,1,Fermenter_2,Fermenter_2,0,3,125,125,247,247
35,11,0,Stabilization tanks,Stabilization tanks,0,114,114,114,250,250
36,10,3,Buffer tanks,Buffer tanks,1,122,196,196,258,258
37,12,0,Stabilization tanks,Stabilization tanks,1,166,166,166,259,259
38,11,3,Microfilter,Microfilter,2,91,166,166,259,259
39,0,4,Fermenter_4,Fermenter_4,0,12,164,164,270,270
40,12,3,Stabilization tanks,Stabilization tanks,3,123,123,123,277,277
41,4,1,Harvesting tanks B,Harvesting tanks B,3,221,221,221,277,277
42,3,1,Filters A,Filters A,0,254,254,254,277,277
43,6,1,Harvesting tanks B,Harvesting tanks B,4,155,155,155,283,283
44,5,1,Filters A,Filters A,2,249,249,249,283,283
45,7,1,Buffer tanks,Buffer tanks,2,249,249,249,297,297
46,8,1,Microfilter,Microfilter,1,251,251,251,297,297
47,9,1,Buffer tanks,Buffer tanks,0,254,254,254,302,302
48,11,1,Microfilter,Microfilter,3,256,256,256,302,302
49,10,1,Buffer tanks,Buffer tanks,3,268,268,268,302,302
50,2,4,Harvesting tanks B,Harvesting tanks B,0,250,250,250,309,309
51,1,4,Filters A,Filters A,1,281,281,281,309,309
52,11,2,Stabilization tanks,Stabilization tanks,2,188,188,188,310,310
53,13,1,Microfilter,Microfilter,0,268,268,268,313,313
54,12,1,Buffer tanks,Buffer tanks,1,273,273,273,313,313
55,6,4,Harvesting tanks B,Harvesting tanks B,5,250,250,250,318,318
56,5,4,Filters A,Filters A,0,281,281,281,318,318
57,7,4,Microfilter,Microfilter,2,282,282,282,318,318
58,8,4,Microfilter,Microfilter,1,282,297,297,333,333
59,3,4,Buffer tanks,Buffer tanks,2,281,297,297,334,334
60,9,4,Buffer tanks,Buffer tanks,3,293,302,302,336,336
61,10,4,Microfilter,Microfilter,3,293,302,302,336,336
62,4,4,Buffer tanks,Buffer tanks,0,281,302,302,339,339
63,11,4,Buffer tanks,Buffer tanks,1,293,313,313,349,349
64,12,4,Microfilter,Microfilter,0,293,313,313,349,349
65,14,1,Stabilization tanks,Stabilization tanks,4,297,297,297,402,402
66,13,4,Stabilization tanks,Stabilization tanks,5,293,293,293,418,418
