Sequence,Fitness,Best_sequence,Best_fitness,Time
"[2, 31, 3, 21, 27, 29, 22, 39, 19, 26, 32, 17, 30, 36, 33, 28, 4, 14, 10, 35, 23, 24, 34, 20, 18, 25, 6, 13, 7, 38, 1, 16, 0, 15, 5, 11, 9, 8, 12, 37]",4059.0,"[2, 31, 3, 21, 27, 29, 22, 39, 19, 26, 32, 17, 30, 36, 33, 28, 4, 14, 10, 35, 23, 24, 34, 20, 18, 25, 6, 13, 7, 38, 1, 16, 0, 15, 5, 11, 9, 8, 12, 37]",4059.0,0.0
"[2, 31, 3, 21, 27, 29, 22, 39, 19, 26, 32, 17, 30, 36, 33, 28, 4, 14, 10, 35, 23, 24, 34, 20, 18, 25, 6, 13, 7, 38, 1, 16, 0, 15, 5, 11, 9, 8, 12, 37]",4059.0,"[2, 31, 3, 21, 27, 29, 22, 39, 19, 26, 32, 17, 30, 36, 33, 28, 4, 14, 10, 35, 23, 24, 34, 20, 18, 25, 6, 13, 7, 38, 1, 16, 0, 15, 5, 11, 9, 8, 12, 37]",4059.0,0.16604232788085938
"[2, 31, 3, 21, 27, 29, 22, 39, 19, 26, 32, 17, 30, 36, 33, 28, 4, 14, 10, 35, 23, 24, 34, 20, 18, 25, 6, 13, 7, 38, 1, 16, 0, 15, 5, 11, 9, 8, 12, 37]",4059.0,"[2, 31, 3, 21, 27, 29, 22, 39, 19, 26, 32, 17, 30, 36, 33, 28, 4, 14, 10, 35, 23, 24, 34, 20, 18, 25, 6, 13, 7, 38, 1, 16, 0, 15, 5, 11, 9, 8, 12, 37]",4059.0,0.3300790786743164
"[2, 31, 3, 21, 27, 29, 22, 39, 19, 26, 32, 17, 30, 36, 33, 28, 4, 14, 10, 35, 23, 24, 34, 20, 18, 25, 6, 13, 7, 38, 1, 16, 0, 15, 5, 11, 9, 8, 12, 37]",4059.0,"[2, 31, 3, 21, 27, 29, 22, 39, 19, 26, 32, 17, 30, 36, 33, 28, 4, 14, 10, 35, 23, 24, 34, 20, 18, 25, 6, 13, 7, 38, 1, 16, 0, 15, 5, 11, 9, 8, 12, 37]",4059.0,0.49310994148254395
"[2, 31, 3, 21, 27, 29, 22, 1, 19, 26, 32, 17, 30, 36, 33, 28, 4, 14, 10, 35, 23, 24, 34, 20, 18, 25, 6, 13, 7, 38, 39, 16, 0, 15, 5, 11, 9, 8, 12, 37]",3850.5,"[2, 31, 3, 21, 27, 29, 22, 1, 19, 26, 32, 17, 30, 36, 33, 28, 4, 14, 10, 35, 23, 24, 34, 20, 18, 25, 6, 13, 7, 38, 39, 16, 0, 15, 5, 11, 9, 8, 12, 37]",3850.5,0.6551146507263184
"[2, 31, 3, 21, 27, 29, 22, 1, 19, 26, 32, 17, 30, 36, 33, 28, 4, 14, 10, 35, 23, 24, 34, 20, 18, 25, 6, 13, 7, 38, 39, 16, 0, 15, 5, 11, 9, 8, 12, 37]",3850.5,"[2, 31, 3, 21, 27, 29, 22, 1, 19, 26, 32, 17, 30, 36, 33, 28, 4, 14, 10, 35, 23, 24, 34, 20, 18, 25, 6, 13, 7, 38, 39, 16, 0, 15, 5, 11, 9, 8, 12, 37]",3850.5,0.8251121044158936
"[2, 31, 3, 21, 27, 29, 22, 1, 19, 26, 32, 17, 30, 36, 33, 28, 4, 14, 10, 35, 23, 24, 34, 20, 18, 25, 6, 13, 7, 38, 39, 16, 0, 15, 5, 11, 9, 8, 12, 37]",3850.5,"[2, 31, 3, 21, 27, 29, 22, 1, 19, 26, 32, 17, 30, 36, 33, 28, 4, 14, 10, 35, 23, 24, 34, 20, 18, 25, 6, 13, 7, 38, 39, 16, 0, 15, 5, 11, 9, 8, 12, 37]",3850.5,0.9911201000213623
"[2, 31, 3, 21, 18, 29, 22, 1, 19, 26, 32, 17, 30, 36, 33, 28, 4, 14, 10, 35, 23, 24, 34, 20, 27, 25, 6, 13, 7, 38, 39, 16, 0, 15, 5, 11, 9, 8, 12, 37]",3721.0,"[2, 31, 3, 21, 18, 29, 22, 1, 19, 26, 32, 17, 30, 36, 33, 28, 4, 14, 10, 35, 23, 24, 34, 20, 27, 25, 6, 13, 7, 38, 39, 16, 0, 15, 5, 11, 9, 8, 12, 37]",3721.0,1.1541755199432373
"[2, 31, 3, 21, 18, 29, 22, 1, 19, 26, 32, 17, 6, 36, 33, 28, 4, 14, 10, 35, 23, 24, 34, 20, 27, 25, 30, 13, 7, 38, 39, 16, 0, 15, 5, 11, 9, 8, 12, 37]",3482.0,"[2, 31, 3, 21, 18, 29, 22, 1, 19, 26, 32, 17, 6, 36, 33, 28, 4, 14, 10, 35, 23, 24, 34, 20, 27, 25, 30, 13, 7, 38, 39, 16, 0, 15, 5, 11, 9, 8, 12, 37]",3482.0,1.3151187896728516
"[2, 31, 3, 21, 18, 29, 22, 1, 19, 26, 32, 17, 6, 36, 33, 28, 4, 14, 10, 35, 23, 24, 34, 20, 27, 25, 30, 13, 7, 38, 39, 16, 0, 15, 5, 11, 9, 8, 12, 37]",3482.0,"[2, 31, 3, 21, 18, 29, 22, 1, 19, 26, 32, 17, 6, 36, 33, 28, 4, 14, 10, 35, 23, 24, 34, 20, 27, 25, 30, 13, 7, 38, 39, 16, 0, 15, 5, 11, 9, 8, 12, 37]",3482.0,1.486121416091919
