Sequence,Fitness,Best_sequence,Best_fitness,Time
"[20, 36, 16, 4, 15, 2, 23, 7, 17, 13, 25, 19, 34, 21, 8, 31, 9, 6, 5, 11, 3, 37, 18, 12, 26, 30, 10, 24, 35, 14, 32, 0, 39, 29, 33, 27, 38, 1, 22, 28]",3723.5,"[20, 36, 16, 4, 15, 2, 23, 7, 17, 13, 25, 19, 34, 21, 8, 31, 9, 6, 5, 11, 3, 37, 18, 12, 26, 30, 10, 24, 35, 14, 32, 0, 39, 29, 33, 27, 38, 1, 22, 28]",3723.5,0.0009996891021728516
"[20, 36, 16, 4, 15, 2, 23, 7, 17, 13, 25, 19, 34, 21, 8, 31, 9, 6, 5, 11, 3, 37, 18, 12, 26, 30, 10, 24, 35, 14, 32, 0, 39, 29, 33, 27, 38, 1, 22, 28]",3723.5,"[20, 36, 16, 4, 15, 2, 23, 7, 17, 13, 25, 19, 34, 21, 8, 31, 9, 6, 5, 11, 3, 37, 18, 12, 26, 30, 10, 24, 35, 14, 32, 0, 39, 29, 33, 27, 38, 1, 22, 28]",3723.5,0.15100431442260742
"[20, 36, 16, 4, 15, 2, 23, 7, 17, 13, 25, 19, 34, 21, 8, 31, 9, 6, 5, 11, 3, 37, 18, 12, 26, 30, 10, 24, 35, 14, 32, 0, 39, 29, 33, 27, 38, 1, 22, 28]",3723.5,"[20, 36, 16, 4, 15, 2, 23, 7, 17, 13, 25, 19, 34, 21, 8, 31, 9, 6, 5, 11, 3, 37, 18, 12, 26, 30, 10, 24, 35, 14, 32, 0, 39, 29, 33, 27, 38, 1, 22, 28]",3723.5,0.296001672744751
"[20, 36, 16, 4, 9, 2, 23, 7, 17, 13, 25, 19, 34, 21, 8, 31, 15, 6, 5, 11, 3, 37, 18, 12, 26, 30, 10, 24, 35, 14, 32, 0, 39, 29, 33, 27, 38, 1, 22, 28]",3704.5,"[20, 36, 16, 4, 9, 2, 23, 7, 17, 13, 25, 19, 34, 21, 8, 31, 15, 6, 5, 11, 3, 37, 18, 12, 26, 30, 10, 24, 35, 14, 32, 0, 39, 29, 33, 27, 38, 1, 22, 28]",3704.5,0.44100499153137207
"[20, 36, 16, 4, 9, 2, 23, 7, 17, 13, 25, 19, 34, 21, 8, 31, 15, 6, 5, 11, 3, 37, 18, 12, 26, 30, 10, 24, 35, 14, 32, 0, 39, 29, 33, 27, 38, 1, 22, 28]",3704.5,"[20, 36, 16, 4, 9, 2, 23, 7, 17, 13, 25, 19, 34, 21, 8, 31, 15, 6, 5, 11, 3, 37, 18, 12, 26, 30, 10, 24, 35, 14, 32, 0, 39, 29, 33, 27, 38, 1, 22, 28]",3704.5,0.5870099067687988
"[20, 36, 16, 4, 9, 2, 23, 7, 17, 13, 25, 19, 34, 21, 8, 31, 15, 6, 5, 11, 3, 37, 18, 12, 26, 30, 10, 24, 35, 14, 32, 0, 39, 29, 33, 27, 38, 1, 22, 28]",3704.5,"[20, 36, 16, 4, 9, 2, 23, 7, 17, 13, 25, 19, 34, 21, 8, 31, 15, 6, 5, 11, 3, 37, 18, 12, 26, 30, 10, 24, 35, 14, 32, 0, 39, 29, 33, 27, 38, 1, 22, 28]",3704.5,0.7340116500854492
"[20, 36, 16, 4, 9, 2, 23, 7, 17, 13, 25, 19, 34, 21, 8, 31, 15, 6, 5, 11, 3, 37, 18, 12, 26, 30, 10, 24, 35, 14, 32, 0, 39, 29, 33, 27, 38, 1, 22, 28]",3704.5,"[20, 36, 16, 4, 9, 2, 23, 7, 17, 13, 25, 19, 34, 21, 8, 31, 15, 6, 5, 11, 3, 37, 18, 12, 26, 30, 10, 24, 35, 14, 32, 0, 39, 29, 33, 27, 38, 1, 22, 28]",3704.5,0.8840210437774658
"[20, 36, 16, 4, 9, 2, 23, 7, 17, 13, 25, 19, 34, 21, 8, 31, 15, 6, 5, 11, 3, 37, 18, 12, 26, 30, 10, 24, 35, 14, 32, 0, 39, 29, 33, 27, 38, 1, 22, 28]",3704.5,"[20, 36, 16, 4, 9, 2, 23, 7, 17, 13, 25, 19, 34, 21, 8, 31, 15, 6, 5, 11, 3, 37, 18, 12, 26, 30, 10, 24, 35, 14, 32, 0, 39, 29, 33, 27, 38, 1, 22, 28]",3704.5,1.0290148258209229
"[20, 36, 16, 4, 9, 2, 23, 7, 17, 13, 25, 19, 34, 21, 8, 31, 15, 6, 5, 11, 3, 37, 18, 12, 26, 30, 10, 24, 35, 14, 32, 0, 39, 29, 33, 27, 38, 1, 22, 28]",3704.5,"[20, 36, 16, 4, 9, 2, 23, 7, 17, 13, 25, 19, 34, 21, 8, 31, 15, 6, 5, 11, 3, 37, 18, 12, 26, 30, 10, 24, 35, 14, 32, 0, 39, 29, 33, 27, 38, 1, 22, 28]",3704.5,1.177034854888916
"[20, 36, 16, 4, 9, 2, 23, 7, 17, 13, 25, 19, 34, 21, 8, 31, 15, 6, 5, 11, 3, 37, 18, 12, 26, 30, 10, 24, 35, 14, 32, 0, 39, 29, 33, 27, 38, 1, 22, 28]",3704.5,"[20, 36, 16, 4, 9, 2, 23, 7, 17, 13, 25, 19, 34, 21, 8, 31, 15, 6, 5, 11, 3, 37, 18, 12, 26, 30, 10, 24, 35, 14, 32, 0, 39, 29, 33, 27, 38, 1, 22, 28]",3704.5,1.3290176391601562
