,simulator,instance,method,init,objective,stop_criterium,time,budget,seed,sequence,makespan,tardiness,average_tardiness,fitness,lambda 1 ,lambda 2
0,simulator_3,20_1_factory_1,random_search,random,l1=0.5_l2=0.5,Budget,13,200.0,1,"[12, 20, 5, 6, 11, 19, 18, 10, 9, 17, 1, 15, 3, 13, 4, 16, 14, 8, 2, 7]",1013,653,32.65,833.0,0.5,0.5
1,simulator_3,20_1_factory_1,local_search,random,l1=0.5_l2=0.5,Budget,13,200.0,1,"[17, 10, 16, 11, 12, 15, 5, 18, 8, 13, 9, 1, 20, 19, 3, 14, 2, 4, 7, 6]",1001,632,31.6,816.5,0.5,0.5
2,simulator_3,20_1_factory_1,local_search,sorted,l1=0.5_l2=0.5,Budget,14,200.0,1,"[1, 2, 16, 18, 5, 20, 14, 12, 9, 10, 19, 4, 13, 11, 15, 3, 17, 8, 7, 6]",1004,636,31.8,820.0,0.5,0.5
3,simulator_3,20_2_factory_1,random_search,random,l1=0.5_l2=0.5,Budget,13,200.0,1,"[6, 13, 2, 19, 10, 12, 7, 3, 5, 4, 11, 1, 8, 17, 15, 9, 14, 16, 20, 18]",813,133,6.65,473.0,0.5,0.5
4,simulator_3,20_2_factory_1,local_search,random,l1=0.5_l2=0.5,Budget,13,200.0,1,"[7, 18, 4, 11, 3, 15, 5, 17, 8, 2, 14, 1, 9, 6, 10, 16, 20, 13, 12, 19]",813,120,6.0,466.5,0.5,0.5
5,simulator_3,20_2_factory_1,local_search,sorted,l1=0.5_l2=0.5,Budget,13,200.0,1,"[2, 18, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 1, 19, 20]",813,120,6.0,466.5,0.5,0.5
6,simulator_3,20_3_factory_1,random_search,random,l1=0.5_l2=0.5,Budget,14,200.0,1,"[12, 16, 6, 2, 10, 9, 19, 11, 15, 5, 14, 20, 18, 17, 8, 13, 7, 4, 3, 1]",1258,1392,69.6,1325.0,0.5,0.5
7,simulator_3,20_3_factory_1,local_search,random,l1=0.5_l2=0.5,Budget,14,200.0,1,"[6, 19, 9, 12, 3, 15, 5, 18, 8, 2, 17, 11, 7, 14, 10, 20, 13, 4, 1, 16]",1258,1353,67.65,1305.5,0.5,0.5
8,simulator_3,20_3_factory_1,local_search,sorted,l1=0.5_l2=0.5,Budget,13,200.0,1,"[15, 1, 3, 5, 10, 6, 19, 14, 9, 18, 8, 12, 2, 20, 13, 16, 17, 4, 7, 11]",1258,1359,67.95,1308.5,0.5,0.5
9,simulator_3,20_4_factory_1,random_search,random,l1=0.5_l2=0.5,Budget,13,200.0,1,"[8, 7, 16, 6, 2, 19, 1, 18, 20, 11, 10, 4, 3, 13, 9, 12, 17, 15, 14, 5]",978,446,22.3,712.0,0.5,0.5
10,simulator_3,20_4_factory_1,local_search,random,l1=0.5_l2=0.5,Budget,14,200.0,1,"[19, 18, 7, 17, 6, 4, 8, 11, 15, 12, 9, 1, 20, 16, 2, 3, 14, 10, 13, 5]",978,426,21.3,702.0,0.5,0.5
11,simulator_3,20_4_factory_1,local_search,sorted,l1=0.5_l2=0.5,Budget,14,200.0,1,"[4, 6, 18, 3, 5, 7, 12, 8, 9, 10, 16, 17, 11, 14, 15, 2, 1, 13, 19, 20]",990,457,22.85,723.5,0.5,0.5
12,simulator_3,20_5_factory_1,random_search,random,l1=0.5_l2=0.5,Budget,10,200.0,1,"[12, 8, 2, 19, 15, 11, 13, 1, 3, 9, 7, 6, 16, 10, 18, 4, 5, 14, 17, 20]",1102,623,31.15,862.5,0.5,0.5
13,simulator_3,20_5_factory_1,local_search,random,l1=0.5_l2=0.5,Budget,10,200.0,1,"[4, 7, 17, 11, 3, 15, 16, 18, 12, 2, 14, 8, 9, 5, 10, 13, 20, 19, 1, 6]",1102,614,30.7,858.0,0.5,0.5
14,simulator_3,20_5_factory_1,local_search,sorted,l1=0.5_l2=0.5,Budget,10,200.0,1,"[2, 1, 3, 4, 5, 6, 19, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 7, 20]",1102,615,30.75,858.5,0.5,0.5
15,simulator_3,40_1_factory_1,random_search,random,l1=0.5_l2=0.5,Budget,62,400.0,1,"[17, 6, 3, 26, 20, 30, 1, 18, 25, 16, 5, 11, 9, 15, 23, 2, 32, 8, 34, 14, 40, 21, 13, 10, 31, 27, 12, 29, 37, 35, 38, 28, 33, 19, 39, 7, 4, 24, 22, 36]",1981,4215,105.375,3098.0,0.5,0.5
16,simulator_3,40_1_factory_1,local_search,random,l1=0.5_l2=0.5,Budget,62,400.0,1,"[5, 10, 6, 7, 3, 13, 20, 9, 15, 1, 17, 30, 14, 39, 19, 16, 29, 18, 12, 4, 26, 22, 32, 11, 25, 35, 31, 33, 34, 8, 2, 24, 23, 21, 27, 38, 40, 36, 37, 28]",1936,2664,66.6,2300.0,0.5,0.5
17,simulator_3,40_1_factory_1,local_search,sorted,l1=0.5_l2=0.5,Budget,62,400.0,1,"[17, 16, 10, 13, 12, 1, 3, 5, 9, 7, 11, 15, 18, 21, 4, 6, 2, 8, 19, 20, 14, 22, 33, 37, 25, 26, 27, 28, 29, 30, 39, 32, 23, 34, 35, 36, 31, 38, 24, 40]",1936,2734,68.35,2335.0,0.5,0.5
18,simulator_3,40_2_factory_1,random_search,random,l1=0.5_l2=0.5,Budget,67,400.0,1,"[14, 4, 13, 7, 6, 3, 33, 8, 19, 26, 37, 18, 34, 16, 2, 15, 22, 21, 17, 5, 9, 10, 38, 39, 23, 1, 36, 27, 30, 12, 25, 20, 31, 29, 28, 35, 11, 32, 40, 24]",1929,3829,95.725,2879.0,0.5,0.5
19,simulator_3,40_2_factory_1,local_search,random,l1=0.5_l2=0.5,Budget,65,400.0,1,"[5, 3, 4, 17, 7, 1, 13, 2, 18, 23, 8, 19, 20, 11, 9, 38, 14, 15, 10, 16, 27, 24, 6, 22, 30, 28, 31, 37, 33, 39, 32, 25, 21, 29, 34, 12, 40, 36, 35, 26]",1883,1968,49.2,1925.5,0.5,0.5
