;;;random search;;;;local search, init = random;;;;local search, init = sorted;;;;rolling horizon, local;;;
instance;cost function structure;budget;makespan;lateness;average_lateness;time;makespan;lateness;average_lateness;time;makespan;lateness;average_lateness;time;makespan;lateness;average_lateness;time
120_1;Makespan_Average_Lateness;600;16411;667345;5561;100;14835;569423;4745;98;14786;537762;4481;91;14525;561954;4683;475
120_1;Makespan_Lateness;600;16411;667345;5561;100;15027;519506;4329;99;15222;494129;4118;92;14624;550298;4586;476
120_2;Makespan_Average_Lateness;600;18366;803556;6696;105;16978;638022;5317;105;17074;657677;5481;97;16569;717520;5979;503
120_2;Makespan_Lateness;600;18546;791994;6600;105;17489;608322;5069;105;17194;601723;5014;97;16954;711194;5927;501
120_3;Makespan_Average_Lateness;600;16139;693734;5781;98;14726;560695;4672;97;14799;519498;4329;90;14731;569136;4743;467
120_3;Makespan_Lateness;600;16871;677450;5645;97;15376;483041;4025;98;15167;470476;3921;91;14805;557168;4643;468
120_4;Makespan_Average_Lateness;600;16820;727499;6062;101;15315;591570;4930;100;15376;545199;4543;93;15385;611593;5097;477
120_4;Makespan_Lateness;600;16969;715558;5963;99;15304;521779;4348;99;15701;510300;4253;92;15511;610348;5086;474
120_5;Makespan_Average_Lateness;600;15635;629202;5243;97;14233;512354;4270;98;13967;484702;4039;92;13983;560636;4672;460
120_5;Makespan_Lateness;600;15892;627814;5232;96;14776;485036;4042;96;14498;465300;3878;89;14242;547759;4565;461
120_6;Makespan_Average_Lateness;600;15740;678232;5652;97;14381;550137;4584;98;14319;513812;4282;91;14215;566113;4718;472
120_6;Makespan_Lateness;600;16506;668979;5575;98;14815;498838;4157;98;14787;473408;3945;91;14359;566108;4718;474
120_7;Makespan_Average_Lateness;600;16414;673038;5609;99;14899;538483;4487;99;14881;558176;4651;92;14692;605967;5050;479
120_7;Makespan_Lateness;600;16414;673038;5609;98;15423;504299;4202;99;15296;505823;4215;92;14911;589787;4915;477
120_8;Makespan_Average_Lateness;600;18091;766784;6390;100;16609;608668;5072;103;16496;598637;4989;95;16045;671287;5594;491
120_8;Makespan_Lateness;600;18091;766784;6390;102;17040;567423;4729;104;16881;577652;4814;95;16594;678467;5654;491
120_9;Makespan_Average_Lateness;600;16593;723270;6027;97;15183;556364;4636;99;15455;540076;4501;91;14933;618440;5154;477
120_9;Makespan_Lateness;600;16941;684246;5702;98;15573;509625;4247;100;15543;496564;4138;93;15156;606009;5050;478
240_1;Makespan_Average_Lateness;1200;32072;2782045;11592;431;28838;2119197;8830;432;29042;2160894;9004;404;27982;2199683;9165;3720
240_1;Makespan_Lateness;1200;32850;2777534;11573;432;29264;1885530;7856;429;29227;1918368;7993;401;28525;2201007;9171;3724
240_2;Makespan_Average_Lateness;1200;33744;2958850;12329;451;30834;2216064;9234;454;30862;2259367;9414;426;30049;2377338;9906;3872
240_2;Makespan_Lateness;1200;34506;2871593;11965;451;31663;2099954;8750;454;31384;2100503;8752;429;30318;2327932;9700;3880
240_3;Makespan_Average_Lateness;1200;32842;2813784;11724;437;29722;2157021;8988;439;29742;2128637;8869;412;28959;2355554;9815;3821
240_3;Makespan_Lateness;1200;33123;2808704;11703;436;30579;2063964;8600;437;30297;1930061;8042;412;29517;2374438;9893;3817
240_4;Makespan_Average_Lateness;1200;32978;2870880;11962;444;30292;2239648;9332;446;30273;2146830;8945;419;29863;2385062;9938;3844
240_4;Makespan_Lateness;1200;33863;2847139;11863;449;31038;2068634;8619;446;30783;2014105;8392;421;30546;2414055;10059;3857
240_5;Makespan_Average_Lateness;1200;34007;2922284;12176;441;30109;2237816;9324;446;30302;2314067;9642;415;29586;2492289;10385;3855
240_5;Makespan_Lateness;1200;34007;2922284;12176;441;30867;2096099;8734;440;31086;2123156;8846;415;30321;2496293;10401;3863
240_6;Makespan_Average_Lateness;1200;32906;2922871;12179;438;29740;2234174;9309;438;29545;2139007;8913;415;28817;2288403;9535;3766
240_6;Makespan_Lateness;1200;33974;2869491;11956;435;30621;1969486;8206;433;30283;2020669;8419;411;29294;2306366;9610;3736
240_7;Makespan_Average_Lateness;1200;33581;3018251;12576;450;30885;2200260;9168;443;31011;2242765;9345;418;29978;2514416;10477;3880
240_7;Makespan_Lateness;1200;34402;2903883;12100;448;31336;2083237;8680;445;31668;2131430;8881;420;30663;2587605;10782;3895
240_8;Makespan_Average_Lateness;1200;33578;2963376;12347;445;30141;2259697;9415;446;30249;2175650;9065;414;29430;2338926;9746;3765
240_8;Makespan_Lateness;1200;34895;2906476;12110;443;30555;2071416;8631;448;30896;2011106;8380;419;29931;2339636;9748;3783
240_9;Makespan_Average_Lateness;1200;32988;2867461;11948;443;29880;2303532;9598;445;30141;2192511;9135;418;29181;2483816;10349;3861
240_9;Makespan_Lateness;1200;33661;2847558;11865;448;30591;2038027;8492;444;30314;2012057;8384;423;29527;2461218;10255;3838
