,simulator,instance,method,init,objective,stop_criterium,time,budget,seed,sequence,makespan,tardiness,average_tardiness,fitness
0,SimPyClaimOneByOneWithDelay,20_1_factory_1,random_search,random,l1=1_l2=0,Budget,2,100.0,1,"[19, 13, 3, 18, 2, 20, 12, 15, 4, 1, 7, 6, 11, 17, 9, 16, 10, 14, 5, 8]",905,393,19.65,905
1,SimPyClaimOneByOneWithDelay,20_1_factory_1,random_search,random,l1=0_l2=1,Budget,2,100.0,1,"[13, 17, 19, 4, 2, 12, 10, 8, 6, 15, 7, 3, 20, 5, 16, 9, 1, 18, 11, 14]",911,314,15.7,314
2,SimPyClaimOneByOneWithDelay,20_1_factory_1,random_search,random,l1=1_l2=1,Budget,2,100.0,1,"[13, 17, 19, 4, 2, 12, 10, 8, 6, 15, 7, 3, 20, 5, 16, 9, 1, 18, 11, 14]",911,314,15.7,1225
3,SimPyClaimOneByOneWithDelay,20_1_factory_1,local_search,sorted,l1=1_l2=0,Budget,8,400.0,1,"[2, 1, 3, 4, 19, 6, 7, 8, 9, 10, 11, 12, 13, 20, 15, 16, 17, 18, 5, 14]",905,410,20.5,905
4,SimPyClaimOneByOneWithDelay,20_1_factory_1,local_search,sorted,l1=0_l2=1,Budget,9,400.0,1,"[2, 9, 10, 3, 12, 16, 7, 8, 13, 4, 11, 1, 20, 14, 15, 6, 17, 18, 19, 5]",905,304,15.2,304
5,SimPyClaimOneByOneWithDelay,20_1_factory_1,local_search,sorted,l1=1_l2=1,Budget,9,400.0,1,"[2, 9, 1, 4, 10, 16, 7, 8, 13, 20, 11, 12, 3, 14, 15, 6, 17, 18, 19, 5]",905,304,15.2,1209
6,SimPyClaimOneByOneWithDelay,20_1_factory_1,local_search,random,l1=1_l2=0,Budget,2,100.0,1,"[19, 17, 10, 11, 18, 15, 6, 3, 8, 2, 14, 1, 20, 4, 7, 16, 9, 13, 12, 5]",905,336,16.8,905
7,SimPyClaimOneByOneWithDelay,20_1_factory_1,local_search,random,l1=0_l2=1,Budget,2,100.0,1,"[20, 18, 7, 11, 3, 15, 6, 17, 8, 2, 14, 1, 19, 4, 10, 16, 9, 13, 12, 5]",905,332,16.6,332
8,SimPyClaimOneByOneWithDelay,20_1_factory_1,local_search,random,l1=1_l2=1,Budget,2,100.0,1,"[20, 18, 7, 11, 3, 15, 6, 17, 8, 2, 14, 1, 19, 4, 10, 16, 9, 13, 12, 5]",905,332,16.6,1237
9,SimPyClaimOneByOneWithDelay,20_1_factory_1,local_search,sorted,l1=1_l2=0,Budget,8,400.0,1,"[2, 1, 3, 4, 19, 6, 7, 8, 9, 10, 11, 12, 13, 20, 15, 16, 17, 18, 5, 14]",905,410,20.5,905
10,SimPyClaimOneByOneWithDelay,20_1_factory_1,local_search,sorted,l1=0_l2=1,Budget,9,400.0,1,"[2, 9, 10, 3, 12, 16, 7, 8, 13, 4, 11, 1, 20, 14, 15, 6, 17, 18, 19, 5]",905,304,15.2,304
11,SimPyClaimOneByOneWithDelay,20_1_factory_1,local_search,sorted,l1=1_l2=1,Budget,9,400.0,1,"[2, 9, 1, 4, 10, 16, 7, 8, 13, 20, 11, 12, 3, 14, 15, 6, 17, 18, 19, 5]",905,304,15.2,1209
12,SimPyClaimOneByOneWithDelay,20_2_factory_1,random_search,random,l1=1_l2=0,Budget,2,100.0,1,"[1, 2, 14, 3, 5, 4, 17, 20, 10, 8, 11, 9, 18, 16, 12, 7, 6, 13, 15, 19]",1396,2007,100.35,1396
13,SimPyClaimOneByOneWithDelay,20_2_factory_1,random_search,random,l1=0_l2=1,Budget,2,100.0,1,"[12, 16, 6, 2, 10, 9, 19, 11, 15, 5, 14, 20, 18, 17, 8, 13, 7, 4, 3, 1]",1481,1954,97.7,1954
14,SimPyClaimOneByOneWithDelay,20_2_factory_1,random_search,random,l1=1_l2=1,Budget,2,100.0,1,"[12, 20, 5, 6, 11, 19, 18, 10, 9, 17, 1, 15, 3, 13, 4, 16, 14, 8, 2, 7]",1396,1994,99.7,3390
15,SimPyClaimOneByOneWithDelay,20_2_factory_1,local_search,sorted,l1=1_l2=0,Budget,8,400.0,1,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 20, 14, 15, 16, 17, 18, 19, 13]",1396,2041,102.05,1396
16,SimPyClaimOneByOneWithDelay,20_2_factory_1,local_search,sorted,l1=0_l2=1,Budget,8,400.0,1,"[17, 5, 12, 10, 3, 8, 19, 14, 9, 20, 11, 6, 13, 4, 15, 16, 1, 2, 7, 18]",1481,1887,94.35,1887
17,SimPyClaimOneByOneWithDelay,20_2_factory_1,local_search,sorted,l1=1_l2=1,Budget,8,400.0,1,"[17, 2, 3, 11, 5, 12, 19, 14, 9, 10, 20, 6, 8, 4, 15, 16, 1, 18, 7, 13]",1396,1899,94.95,3295
18,SimPyClaimOneByOneWithDelay,20_2_factory_1,local_search,random,l1=1_l2=0,Budget,2,100.0,1,"[6, 17, 7, 11, 3, 15, 5, 18, 8, 2, 14, 1, 20, 19, 10, 16, 9, 4, 12, 13]",1396,2185,109.25,1396
19,SimPyClaimOneByOneWithDelay,20_2_factory_1,local_search,random,l1=0_l2=1,Budget,2,100.0,1,"[17, 8, 10, 11, 3, 15, 16, 18, 4, 2, 7, 12, 20, 19, 14, 6, 9, 13, 1, 5]",1481,1893,94.65,1893
20,SimPyClaimOneByOneWithDelay,20_2_factory_1,local_search,random,l1=1_l2=1,Budget,2,100.0,1,"[17, 8, 10, 11, 3, 15, 16, 18, 4, 2, 7, 12, 20, 19, 14, 6, 9, 5, 1, 13]",1396,1905,95.25,3301
21,SimPyClaimOneByOneWithDelay,20_2_factory_1,local_search,sorted,l1=1_l2=0,Budget,8,400.0,1,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 20, 14, 15, 16, 17, 18, 19, 13]",1396,2041,102.05,1396
22,SimPyClaimOneByOneWithDelay,20_2_factory_1,local_search,sorted,l1=0_l2=1,Budget,8,400.0,1,"[17, 5, 12, 10, 3, 8, 19, 14, 9, 20, 11, 6, 13, 4, 15, 16, 1, 2, 7, 18]",1481,1887,94.35,1887
23,SimPyClaimOneByOneWithDelay,20_2_factory_1,local_search,sorted,l1=1_l2=1,Budget,8,400.0,1,"[17, 2, 3, 11, 5, 12, 19, 14, 9, 10, 20, 6, 8, 4, 15, 16, 1, 18, 7, 13]",1396,1899,94.95,3295
24,SimPyClaimOneByOneWithDelay,20_3_factory_1,random_search,random,l1=1_l2=0,Budget,2,100.0,1,"[11, 2, 18, 12, 13, 10, 15, 19, 9, 8, 17, 3, 16, 6, 5, 7, 20, 1, 4, 14]",1034,507,25.35,1034
25,SimPyClaimOneByOneWithDelay,20_3_factory_1,random_search,random,l1=0_l2=1,Budget,2,100.0,1,"[18, 3, 6, 19, 12, 17, 4, 10, 2, 20, 16, 7, 13, 8, 9, 14, 5, 15, 1, 11]",1074,492,24.6,492
26,SimPyClaimOneByOneWithDelay,20_3_factory_1,random_search,random,l1=1_l2=1,Budget,2,100.0,1,"[11, 2, 18, 12, 13, 10, 15, 19, 9, 8, 17, 3, 16, 6, 5, 7, 20, 1, 4, 14]",1034,507,25.35,1541
27,SimPyClaimOneByOneWithDelay,20_3_factory_1,local_search,sorted,l1=1_l2=0,Budget,8,400.0,1,"[18, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 1, 19, 20]",1034,464,23.2,1034
28,SimPyClaimOneByOneWithDelay,20_3_factory_1,local_search,sorted,l1=0_l2=1,Budget,8,400.0,1,"[18, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 1, 17, 19, 20]",1034,464,23.2,464
29,SimPyClaimOneByOneWithDelay,20_3_factory_1,local_search,sorted,l1=1_l2=1,Budget,8,400.0,1,"[18, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 1, 17, 19, 20]",1034,464,23.2,1498
30,SimPyClaimOneByOneWithDelay,20_3_factory_1,local_search,random,l1=1_l2=0,Budget,2,100.0,1,"[6, 18, 7, 11, 3, 15, 5, 17, 8, 2, 14, 1, 20, 19, 10, 4, 9, 13, 12, 16]",1034,563,28.15,1034
31,SimPyClaimOneByOneWithDelay,20_3_factory_1,local_search,random,l1=0_l2=1,Budget,2,100.0,1,"[6, 10, 7, 11, 3, 15, 5, 17, 8, 2, 18, 12, 9, 19, 14, 4, 20, 13, 1, 16]",1034,464,23.2,464
32,SimPyClaimOneByOneWithDelay,20_3_factory_1,local_search,random,l1=1_l2=1,Budget,2,100.0,1,"[6, 10, 7, 11, 3, 15, 5, 17, 8, 2, 18, 12, 9, 19, 14, 4, 20, 13, 1, 16]",1034,464,23.2,1498
33,SimPyClaimOneByOneWithDelay,20_3_factory_1,local_search,sorted,l1=1_l2=0,Budget,8,400.0,1,"[18, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 1, 19, 20]",1034,464,23.2,1034
34,SimPyClaimOneByOneWithDelay,20_3_factory_1,local_search,sorted,l1=0_l2=1,Budget,8,400.0,1,"[18, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 1, 17, 19, 20]",1034,464,23.2,464
35,SimPyClaimOneByOneWithDelay,20_3_factory_1,local_search,sorted,l1=1_l2=1,Budget,8,400.0,1,"[18, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 1, 17, 19, 20]",1034,464,23.2,1498
36,SimPyClaimOneByOneWithDelay,20_4_factory_1,random_search,random,l1=1_l2=0,Budget,2,100.0,1,"[19, 18, 9, 12, 4, 8, 2, 17, 14, 11, 3, 15, 16, 5, 13, 20, 10, 6, 1, 7]",1020,851,42.55,1020
37,SimPyClaimOneByOneWithDelay,20_4_factory_1,random_search,random,l1=0_l2=1,Budget,2,100.0,1,"[7, 16, 19, 1, 9, 8, 17, 18, 15, 13, 2, 6, 20, 5, 12, 11, 14, 4, 10, 3]",1063,766,38.3,766
38,SimPyClaimOneByOneWithDelay,20_4_factory_1,random_search,random,l1=1_l2=1,Budget,2,100.0,1,"[10, 4, 17, 6, 5, 16, 12, 19, 18, 7, 15, 2, 1, 13, 9, 3, 8, 14, 11, 20]",1057,771,38.55,1828
39,SimPyClaimOneByOneWithDelay,20_4_factory_1,local_search,sorted,l1=1_l2=0,Budget,9,400.0,1,"[17, 2, 3, 4, 5, 6, 19, 8, 9, 20, 11, 12, 13, 14, 15, 16, 1, 18, 7, 10]",1020,853,42.65,1020
40,SimPyClaimOneByOneWithDelay,20_4_factory_1,local_search,sorted,l1=0_l2=1,Budget,9,400.0,1,"[17, 7, 18, 19, 5, 6, 16, 3, 9, 10, 20, 12, 13, 14, 15, 8, 1, 4, 2, 11]",1057,722,36.1,722
41,SimPyClaimOneByOneWithDelay,20_4_factory_1,local_search,sorted,l1=1_l2=1,Budget,9,400.0,1,"[17, 7, 18, 19, 5, 6, 16, 3, 9, 10, 20, 12, 13, 14, 15, 8, 1, 4, 2, 11]",1057,722,36.1,1779
42,SimPyClaimOneByOneWithDelay,20_4_factory_1,local_search,random,l1=1_l2=0,Budget,2,100.0,1,"[4, 17, 7, 11, 3, 15, 5, 18, 8, 2, 14, 1, 9, 19, 10, 16, 20, 13, 12, 6]",1020,871,43.55,1020
43,SimPyClaimOneByOneWithDelay,20_4_factory_1,local_search,random,l1=0_l2=1,Budget,2,100.0,1,"[14, 4, 7, 18, 12, 15, 5, 17, 19, 13, 10, 1, 20, 6, 8, 16, 9, 2, 3, 11]",1060,723,36.15,723
44,SimPyClaimOneByOneWithDelay,20_4_factory_1,local_search,random,l1=1_l2=1,Budget,2,100.0,1,"[4, 7, 8, 14, 12, 15, 6, 17, 19, 13, 10, 1, 20, 5, 18, 16, 9, 2, 3, 11]",1057,723,36.15,1780
45,SimPyClaimOneByOneWithDelay,20_4_factory_1,local_search,sorted,l1=1_l2=0,Budget,9,400.0,1,"[17, 2, 3, 4, 5, 6, 19, 8, 9, 20, 11, 12, 13, 14, 15, 16, 1, 18, 7, 10]",1020,853,42.65,1020
46,SimPyClaimOneByOneWithDelay,20_4_factory_1,local_search,sorted,l1=0_l2=1,Budget,9,400.0,1,"[17, 7, 18, 19, 5, 6, 16, 3, 9, 10, 20, 12, 13, 14, 15, 8, 1, 4, 2, 11]",1057,722,36.1,722
47,SimPyClaimOneByOneWithDelay,20_4_factory_1,local_search,sorted,l1=1_l2=1,Budget,9,400.0,1,"[17, 7, 18, 19, 5, 6, 16, 3, 9, 10, 20, 12, 13, 14, 15, 8, 1, 4, 2, 11]",1057,722,36.1,1779
48,SimPyClaimOneByOneWithDelay,40_1_factory_1,random_search,random,l1=1_l2=0,Budget,9,200.0,1,"[10, 6, 16, 39, 26, 3, 30, 1, 21, 4, 15, 37, 22, 23, 18, 8, 40, 11, 34, 17, 2, 20, 29, 12, 27, 14, 33, 35, 5, 38, 25, 19, 31, 9, 28, 36, 32, 13, 24, 7]",1551,4711,117.775,1551
49,SimPyClaimOneByOneWithDelay,40_1_factory_1,random_search,random,l1=0_l2=1,Budget,9,200.0,1,"[40, 2, 9, 10, 7, 6, 33, 1, 37, 39, 11, 18, 26, 3, 35, 30, 14, 24, 36, 20, 8, 4, 12, 16, 17, 23, 25, 29, 13, 19, 28, 15, 21, 32, 31, 34, 5, 38, 27, 22]",1568,2696,67.4,2696
50,SimPyClaimOneByOneWithDelay,40_1_factory_1,random_search,random,l1=1_l2=1,Budget,9,200.0,1,"[40, 2, 9, 10, 7, 6, 33, 1, 37, 39, 11, 18, 26, 3, 35, 30, 14, 24, 36, 20, 8, 4, 12, 16, 17, 23, 25, 29, 13, 19, 28, 15, 21, 32, 31, 34, 5, 38, 27, 22]",1568,2696,67.4,4264
51,SimPyClaimOneByOneWithDelay,40_1_factory_1,local_search,sorted,l1=1_l2=0,Budget,34,800.0,1,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40]",1551,1376,34.4,1551
52,SimPyClaimOneByOneWithDelay,40_1_factory_1,local_search,sorted,l1=0_l2=1,Budget,35,800.0,1,"[2, 1, 11, 13, 5, 12, 7, 4, 9, 10, 3, 6, 8, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 31, 25, 26, 27, 28, 29, 30, 24, 32, 33, 36, 35, 34, 37, 38, 39, 40]",1561,1121,28.025,1121
53,SimPyClaimOneByOneWithDelay,40_1_factory_1,local_search,sorted,l1=1_l2=1,Budget,35,800.0,1,"[2, 1, 11, 13, 5, 12, 7, 4, 9, 10, 3, 6, 8, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 31, 25, 26, 27, 28, 29, 30, 24, 32, 33, 36, 35, 34, 37, 38, 39, 40]",1561,1121,28.025,2682
54,SimPyClaimOneByOneWithDelay,40_1_factory_1,local_search,random,l1=1_l2=0,Budget,8,200.0,1,"[29, 32, 4, 22, 28, 30, 23, 40, 20, 27, 33, 18, 31, 37, 34, 3, 5, 15, 11, 9, 24, 25, 35, 21, 19, 26, 7, 14, 8, 39, 2, 17, 1, 16, 6, 12, 10, 36, 13, 38]",1551,5790,144.75,1551
55,SimPyClaimOneByOneWithDelay,40_1_factory_1,local_search,random,l1=0_l2=1,Budget,9,200.0,1,"[3, 10, 12, 37, 19, 2, 23, 15, 13, 9, 6, 18, 14, 7, 38, 4, 20, 17, 40, 1, 29, 28, 16, 32, 27, 35, 31, 8, 33, 39, 26, 30, 36, 24, 21, 5, 11, 22, 34, 25]",1561,1248,31.2,1248
