,simulator,instance,method,init,objective,stop_criterium,time,budget,seed,sequence,makespan,tardiness,average_tardiness,fitness,lambda 1 ,lambda 2
0,simulator_3,20_1_factory_1,local_search,random,l1=0.5_l2=0.5,Budget,13,200.0,1,"[17, 10, 16, 11, 12, 15, 5, 18, 8, 13, 9, 1, 20, 19, 3, 14, 2, 4, 7, 6]",1001,632,31.6,816.5,0.5,0.5
1,simulator_3,20_1_factory_1,local_search,sorted,l1=0.5_l2=0.5,Budget,13,200.0,1,"[1, 2, 16, 18, 5, 20, 14, 12, 9, 10, 19, 4, 13, 11, 15, 3, 17, 8, 7, 6]",1004,636,31.8,820.0,0.5,0.5
2,simulator_3,20_2_factory_1,local_search,random,l1=0.5_l2=0.5,Budget,12,200.0,1,"[7, 18, 4, 11, 3, 15, 5, 17, 8, 2, 14, 1, 9, 6, 10, 16, 20, 13, 12, 19]",813,120,6.0,466.5,0.5,0.5
3,simulator_3,20_2_factory_1,local_search,sorted,l1=0.5_l2=0.5,Budget,12,200.0,1,"[2, 18, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 1, 19, 20]",813,120,6.0,466.5,0.5,0.5
4,simulator_3,20_3_factory_1,local_search,random,l1=0.5_l2=0.5,Budget,13,200.0,1,"[6, 19, 9, 12, 3, 15, 5, 18, 8, 2, 17, 11, 7, 14, 10, 20, 13, 4, 1, 16]",1258,1353,67.65,1305.5,0.5,0.5
5,simulator_3,20_3_factory_1,local_search,sorted,l1=0.5_l2=0.5,Budget,13,200.0,1,"[15, 1, 3, 5, 10, 6, 19, 14, 9, 18, 8, 12, 2, 20, 13, 16, 17, 4, 7, 11]",1258,1359,67.95,1308.5,0.5,0.5
6,simulator_3,20_4_factory_1,local_search,random,l1=0.5_l2=0.5,Budget,13,200.0,1,"[19, 18, 7, 17, 6, 4, 8, 11, 15, 12, 9, 1, 20, 16, 2, 3, 14, 10, 13, 5]",978,426,21.3,702.0,0.5,0.5
7,simulator_3,20_4_factory_1,local_search,sorted,l1=0.5_l2=0.5,Budget,13,200.0,1,"[4, 6, 18, 3, 5, 7, 12, 8, 9, 10, 16, 17, 11, 14, 15, 2, 1, 13, 19, 20]",990,457,22.85,723.5,0.5,0.5
8,simulator_3,40_1_factory_1,local_search,random,l1=0.5_l2=0.5,Budget,60,400.0,1,"[5, 10, 6, 7, 3, 13, 20, 9, 15, 1, 17, 30, 14, 39, 19, 16, 29, 18, 12, 4, 26, 22, 32, 11, 25, 35, 31, 33, 34, 8, 2, 24, 23, 21, 27, 38, 40, 36, 37, 28]",1936,2664,66.6,2300.0,0.5,0.5
9,simulator_3,40_1_factory_1,local_search,sorted,l1=0.5_l2=0.5,Budget,60,400.0,1,"[17, 16, 10, 13, 12, 1, 3, 5, 9, 7, 11, 15, 18, 21, 4, 6, 2, 8, 19, 20, 14, 22, 33, 37, 25, 26, 27, 28, 29, 30, 39, 32, 23, 34, 35, 36, 31, 38, 24, 40]",1936,2734,68.35,2335.0,0.5,0.5
