,Activity,Product,Resource,Check_resource_type,Machine_id,Request moment,Retrieve moment,Start,Finish
0,0,5,Fermenter_5,Fermenter_5,0,0,0,0,96
1,1,0,Harvesting tanks A,Harvesting tanks A,0,84,84,84,99
2,2,5,Harvesting tanks B,Harvesting tanks B,3,81,81,81,102
3,1,5,Filters A,Filters A,2,90,90,90,102
4,4,5,Microfilter,Microfilter,3,90,90,90,119
5,0,1,Fermenter_3,Fermenter_3,0,0,0,0,165
6,2,0,Harvesting tanks A,Harvesting tanks A,1,84,84,84,169
7,0,0,Fermenter_2,Fermenter_2,0,0,0,0,187
8,6,0,Harvesting tanks B,Harvesting tanks B,1,84,84,84,201
9,5,0,Harvesting tanks B,Harvesting tanks B,0,159,159,159,201
10,3,0,Filters A,Filters A,0,182,182,182,201
11,4,0,Filters A,Filters A,1,190,190,190,201
12,5,5,Stabilization tanks,Stabilization tanks,2,119,119,119,208
13,7,0,Buffer tanks,Buffer tanks,0,182,182,182,210
14,8,0,Microfilter,Microfilter,0,183,183,183,210
15,9,0,Buffer tanks,Buffer tanks,1,190,190,190,213
16,11,0,Microfilter,Microfilter,1,191,191,191,218
17,10,0,Buffer tanks,Buffer tanks,2,199,199,199,218
18,3,5,Buffer tanks,Buffer tanks,0,90,210,210,239
19,2,1,Harvesting tanks B,Harvesting tanks B,2,135,135,135,248
20,1,1,Filters B,Filters B,0,150,150,150,248
21,0,2,Fermenter_2,Fermenter_2,0,0,187,187,248
22,0,8,Fermenter_3,Fermenter_3,0,0,165,165,271
23,3,1,Buffer tanks,Buffer tanks,3,150,150,150,274
24,4,1,Microfilter,Microfilter,2,150,150,150,274
25,2,2,Harvesting tanks B,Harvesting tanks B,3,235,235,235,286
26,1,2,Filters A,Filters A,1,269,269,269,286
27,1,3,Harvesting tanks A,Harvesting tanks A,2,278,278,278,306
28,12,0,Stabilization tanks,Stabilization tanks,0,210,210,210,307
29,2,8,Harvesting tanks B,Harvesting tanks B,4,251,251,251,310
30,1,8,Filters A,Filters A,2,282,282,282,310
31,6,8,Harvesting tanks B,Harvesting tanks B,5,251,251,251,319
32,3,8,Buffer tanks,Buffer tanks,1,282,282,282,319
33,4,8,Buffer tanks,Buffer tanks,2,282,282,282,319
34,5,8,Filters A,Filters A,0,282,282,282,319
35,7,8,Microfilter,Microfilter,3,283,283,283,319
36,8,8,Microfilter,Microfilter,0,283,283,283,319
37,9,8,Buffer tanks,Buffer tanks,0,294,294,294,328
38,10,8,Microfilter,Microfilter,1,294,294,294,328
39,11,8,Buffer tanks,Buffer tanks,3,294,294,294,330
40,12,8,Microfilter,Microfilter,2,294,294,294,330
41,5,2,Buffer tanks,Buffer tanks,2,279,319,319,338
42,6,2,Microfilter,Microfilter,0,279,319,319,338
43,4,2,Microfilter,Microfilter,3,271,319,319,339
44,3,2,Buffer tanks,Buffer tanks,1,269,319,319,341
45,2,3,Harvesting tanks A,Harvesting tanks A,3,278,278,278,350
46,5,1,Stabilization tanks,Stabilization tanks,1,274,274,274,363
47,0,3,Fermenter_2,Fermenter_2,0,0,248,248,370
48,7,2,Stabilization tanks,Stabilization tanks,4,291,291,291,387
49,4,3,Harvesting tanks B,Harvesting tanks B,1,344,344,344,400
50,3,3,Filters A,Filters A,1,377,377,377,400
51,6,3,Harvesting tanks B,Harvesting tanks B,0,278,278,278,406
52,5,3,Filters A,Filters A,2,372,372,372,406
53,13,8,Stabilization tanks,Stabilization tanks,3,294,294,294,419
54,7,3,Buffer tanks,Buffer tanks,0,372,372,372,420
55,8,3,Microfilter,Microfilter,1,374,374,374,420
56,9,3,Buffer tanks,Buffer tanks,3,377,377,377,425
57,11,3,Microfilter,Microfilter,2,379,379,379,425
58,10,3,Buffer tanks,Buffer tanks,2,391,391,391,425
