,seed,makespan,lateness,nr_unfinished_products
0,63158,923.0,179.0,0
1,42117,931.0,187.0,0
2,61376,927.0,183.0,0
3,41672,929.0,185.0,0
4,2569,921.0,177.0,0
5,68171,918.0,174.0,0
6,20985,941.0,207.0,0
7,97100,912.0,168.0,0
8,43763,930.0,186.0,0
9,89081,936.0,197.0,0
10,32661,938.0,201.0,0
11,71293,942.0,209.0,0
12,78824,930.0,186.0,0
13,84302,933.0,191.0,0
14,23442,922.0,178.0,0
15,29733,935.0,195.0,0
16,87892,934.0,193.0,0
17,6849,935.0,195.0,0
18,95733,917.0,173.0,0
19,65658,928.0,184.0,0
20,26208,923.0,179.0,0
21,91638,918.0,174.0,0
22,41761,915.0,171.0,0
23,90849,940.0,205.0,0
24,48524,921.0,177.0,0
25,59768,943.0,211.0,0
26,68078,932.0,189.0,0
27,47113,935.0,195.0,0
28,684,915.0,171.0,0
29,16005,935.0,195.0,0
30,61059,932.0,189.0,0
31,63092,921.0,177.0,0
32,92076,925.0,181.0,0
33,50319,914.0,170.0,0
34,14434,936.0,197.0,0
35,48868,930.0,186.0,0
36,42926,936.0,197.0,0
37,47266,916.0,172.0,0
38,61656,916.0,172.0,0
39,55217,915.0,171.0,0
40,89362,931.0,187.0,0
41,36678,919.0,175.0,0
42,41556,927.0,183.0,0
43,56149,931.0,187.0,0
44,145,910.0,166.0,0
45,85088,925.0,181.0,0
46,54634,925.0,181.0,0
47,53481,923.0,179.0,0
48,69228,945.0,215.0,0
49,69169,927.0,183.0,0
50,26601,932.0,189.0,0
51,28770,924.0,180.0,0
52,66247,937.0,199.0,0
53,60344,913.0,169.0,0
54,8529,905.0,161.0,0
55,70761,929.0,185.0,0
56,85290,933.0,191.0,0
57,44379,923.0,179.0,0
58,77753,932.0,189.0,0
59,64557,933.0,191.0,0
60,36252,933.0,191.0,0
61,1890,919.0,175.0,0
62,7577,926.0,182.0,0
63,7948,915.0,171.0,0
64,9336,937.0,199.0,0
65,93071,931.0,187.0,0
66,25740,930.0,186.0,0
67,17861,920.0,176.0,0
68,8552,920.0,176.0,0
69,61962,920.0,176.0,0
70,13045,932.0,189.0,0
71,55450,935.0,195.0,0
72,22289,939.0,203.0,0
73,43795,941.0,207.0,0
74,34126,907.0,163.0,0
75,27668,934.0,193.0,0
76,25120,929.0,185.0,0
77,9335,940.0,205.0,0
78,68332,917.0,173.0,0
79,52568,917.0,173.0,0
80,64890,929.0,185.0,0
81,93927,933.0,191.0,0
82,20183,936.0,197.0,0
83,64034,925.0,181.0,0
84,6948,928.0,184.0,0
85,75375,928.0,184.0,0
86,66187,944.0,213.0,0
87,61431,930.0,186.0,0
88,10603,915.0,171.0,0
89,35874,926.0,182.0,0
90,14519,933.0,191.0,0
91,28612,931.0,187.0,0
92,36826,923.0,179.0,0
93,20281,931.0,187.0,0
94,23092,925.0,181.0,0
95,58941,924.0,180.0,0
96,82305,943.0,211.0,0
97,17296,930.0,186.0,0
98,73528,918.0,174.0,0
99,67272,927.0,183.0,0
100,73185,942.0,209.0,0
101,86627,938.0,201.0,0
102,38671,934.0,193.0,0
103,84224,919.0,175.0,0
104,69596,924.0,180.0,0
105,67357,927.0,183.0,0
106,7421,947.0,219.0,0
107,63683,917.0,173.0,0
108,79130,929.0,185.0,0
109,35897,932.0,189.0,0
110,96984,927.0,183.0,0
111,36324,939.0,203.0,0
112,18191,923.0,179.0,0
113,48222,920.0,176.0,0
114,68655,927.0,183.0,0
115,42198,926.0,182.0,0
116,86576,934.0,193.0,0
117,48354,924.0,180.0,0
118,2695,936.0,197.0,0
119,9910,925.0,181.0,0
120,90385,930.0,186.0,0
121,55555,923.0,179.0,0
122,12709,933.0,191.0,0
123,91772,925.0,181.0,0
124,68118,936.0,197.0,0
125,68499,951.0,227.0,0
126,62975,924.0,180.0,0
127,73266,925.0,181.0,0
128,7247,917.0,173.0,0
129,65005,937.0,199.0,0
130,85335,945.0,215.0,0
131,76998,936.0,192.0,0
132,39256,932.0,189.0,0
133,9816,921.0,177.0,0
134,10659,922.0,178.0,0
135,14402,935.0,195.0,0
136,61478,913.0,169.0,0
137,78622,925.0,181.0,0
138,68840,923.0,179.0,0
139,33008,922.0,178.0,0
140,17039,920.0,176.0,0
141,6950,929.0,185.0,0
142,64901,920.0,176.0,0
143,23380,927.0,183.0,0
144,73042,904.0,160.0,0
145,61056,938.0,201.0,0
146,51404,928.0,184.0,0
147,95977,926.0,182.0,0
148,2756,919.0,175.0,0
149,78570,934.0,193.0,0
150,17591,949.0,223.0,0
151,90118,927.0,183.0,0
152,38394,928.0,184.0,0
153,12053,921.0,177.0,0
154,55466,946.0,217.0,0
155,61419,926.0,182.0,0
156,88844,930.0,186.0,0
157,20465,927.0,183.0,0
158,83424,946.0,217.0,0
159,24973,938.0,201.0,0
160,31472,919.0,175.0,0
161,54188,919.0,175.0,0
162,45220,936.0,197.0,0
163,1819,918.0,174.0,0
164,71978,939.0,203.0,0
165,4389,942.0,209.0,0
166,75946,930.0,186.0,0
167,60606,936.0,197.0,0
168,87634,936.0,197.0,0
169,91358,930.0,186.0,0
170,79298,925.0,181.0,0
171,98921,933.0,191.0,0
172,4698,928.0,184.0,0
173,66210,932.0,189.0,0
174,93276,926.0,182.0,0
175,51289,925.0,181.0,0
176,58071,937.0,199.0,0
177,82582,930.0,186.0,0
178,94028,918.0,174.0,0
179,67497,933.0,191.0,0
180,6310,933.0,191.0,0
181,46307,930.0,186.0,0
182,12405,920.0,176.0,0
183,86500,937.0,199.0,0
184,52257,933.0,191.0,0
185,77242,933.0,191.0,0
186,70286,927.0,183.0,0
187,2723,922.0,178.0,0
188,55533,933.0,191.0,0
189,18417,929.0,185.0,0
190,58310,926.0,182.0,0
191,94075,923.0,179.0,0
192,73798,923.0,179.0,0
193,2973,945.0,215.0,0
194,86282,923.0,179.0,0
195,8402,933.0,191.0,0
196,84274,936.0,197.0,0
197,7127,919.0,175.0,0
198,85155,925.0,181.0,0
199,30234,918.0,174.0,0
200,22579,932.0,189.0,0
201,12798,940.0,205.0,0
202,42476,913.0,169.0,0
203,2668,948.0,221.0,0
204,17865,937.0,199.0,0
205,29537,929.0,185.0,0
206,99929,924.0,180.0,0
207,11332,919.0,175.0,0
208,12963,931.0,187.0,0
209,50765,930.0,186.0,0
210,10378,933.0,191.0,0
211,6316,942.0,209.0,0
212,18766,937.0,199.0,0
213,52753,938.0,201.0,0
214,46206,937.0,199.0,0
215,35852,932.0,189.0,0
216,63488,928.0,184.0,0
217,93558,940.0,205.0,0
218,31404,944.0,213.0,0
219,47552,947.0,219.0,0
220,75718,925.0,181.0,0
221,74036,934.0,193.0,0
222,79549,931.0,187.0,0
223,70986,920.0,176.0,0
224,65195,926.0,182.0,0
225,66552,919.0,175.0,0
226,2284,948.0,221.0,0
227,30232,933.0,191.0,0
228,61151,936.0,197.0,0
229,38413,931.0,187.0,0
230,11542,943.0,211.0,0
231,84814,948.0,221.0,0
232,84173,931.0,187.0,0
233,98442,934.0,193.0,0
234,10810,919.0,175.0,0
235,47470,958.0,241.0,0
236,94765,933.0,191.0,0
237,18581,934.0,193.0,0
238,48114,935.0,195.0,0
239,64624,924.0,180.0,0
240,97057,923.0,179.0,0
241,77281,953.0,231.0,0
242,57006,937.0,199.0,0
243,16237,930.0,186.0,0
244,9296,935.0,195.0,0
245,52209,946.0,217.0,0
246,79800,922.0,178.0,0
247,7083,936.0,197.0,0
248,87288,926.0,182.0,0
249,36418,914.0,170.0,0
250,84684,930.0,186.0,0
251,35769,935.0,195.0,0
252,18377,937.0,199.0,0
253,10279,924.0,180.0,0
254,94270,923.0,179.0,0
255,25849,924.0,180.0,0
256,87578,920.0,176.0,0
257,2112,930.0,186.0,0
258,43054,932.0,189.0,0
259,12081,934.0,193.0,0
260,12642,939.0,203.0,0
261,84129,947.0,219.0,0
262,65709,924.0,180.0,0
263,68696,939.0,203.0,0
264,19596,928.0,184.0,0
265,31215,921.0,177.0,0
266,14528,935.0,195.0,0
267,22319,920.0,176.0,0
268,88246,924.0,180.0,0
269,29839,933.0,191.0,0
270,97319,919.0,175.0,0
271,86097,907.0,163.0,0
272,50986,936.0,197.0,0
273,2887,919.0,175.0,0
274,92492,925.0,181.0,0
275,30700,919.0,175.0,0
276,11968,943.0,211.0,0
277,86275,914.0,170.0,0
278,1236,947.0,219.0,0
279,66289,917.0,173.0,0
280,49440,942.0,209.0,0
281,26272,932.0,189.0,0
282,77366,927.0,183.0,0
283,86744,912.0,168.0,0
284,90641,932.0,189.0,0
285,46951,917.0,173.0,0
286,4163,939.0,203.0,0
287,75306,945.0,215.0,0
288,14184,921.0,177.0,0
289,49213,923.0,179.0,0
290,21438,928.0,184.0,0
291,13024,921.0,177.0,0
292,28398,940.0,205.0,0
293,48855,916.0,172.0,0
294,74229,942.0,209.0,0
295,50889,921.0,177.0,0
296,87892,934.0,193.0,0
297,18861,946.0,217.0,0
298,35198,941.0,207.0,0
299,37839,929.0,185.0,0
300,79250,937.0,199.0,0
301,4144,945.0,215.0,0
302,41485,932.0,189.0,0
303,19442,924.0,180.0,0
304,33873,946.0,217.0,0
305,94294,911.0,167.0,0
306,43271,924.0,180.0,0
307,29881,955.0,235.0,0
308,18228,942.0,209.0,0
309,48018,919.0,175.0,0
310,16749,923.0,179.0,0
311,63645,917.0,173.0,0
312,91549,940.0,205.0,0
313,4642,924.0,180.0,0
314,67242,944.0,213.0,0
315,88125,928.0,184.0,0
316,99428,927.0,183.0,0
317,65473,939.0,203.0,0
318,20567,922.0,178.0,0
319,25700,943.0,211.0,0
320,88601,934.0,193.0,0
321,29305,926.0,182.0,0
322,27726,934.0,193.0,0
323,73638,932.0,189.0,0
324,42763,944.0,213.0,0
325,78209,917.0,173.0,0
326,90870,930.0,186.0,0
327,71744,925.0,181.0,0
328,29756,918.0,174.0,0
329,73483,939.0,203.0,0
330,43435,930.0,186.0,0
331,10935,925.0,181.0,0
332,10718,945.0,215.0,0
333,66851,934.0,193.0,0
334,11014,924.0,180.0,0
335,71090,938.0,201.0,0
336,87054,922.0,178.0,0
337,55507,925.0,181.0,0
338,22879,946.0,217.0,0
339,22118,932.0,189.0,0
340,73052,921.0,177.0,0
341,55593,931.0,187.0,0
342,85472,936.0,197.0,0
343,3817,912.0,168.0,0
344,9257,921.0,177.0,0
345,61686,939.0,203.0,0
346,48490,931.0,187.0,0
347,5131,938.0,201.0,0
348,85581,924.0,180.0,0
349,22058,939.0,203.0,0
350,12321,930.0,186.0,0
351,76205,926.0,182.0,0
352,4193,926.0,182.0,0
353,30595,931.0,187.0,0
354,12594,923.0,179.0,0
355,45050,925.0,181.0,0
356,5006,925.0,181.0,0
357,25029,942.0,209.0,0
358,97393,930.0,186.0,0
359,1738,921.0,177.0,0
360,42245,936.0,197.0,0
361,4116,929.0,185.0,0
362,67850,926.0,182.0,0
363,55368,922.0,178.0,0
364,38598,940.0,205.0,0
365,39050,946.0,217.0,0
366,95022,919.0,175.0,0
367,23785,938.0,201.0,0
368,70357,921.0,177.0,0
369,3787,933.0,191.0,0
370,48025,940.0,205.0,0
371,32379,935.0,195.0,0
372,29474,930.0,186.0,0
373,50731,931.0,187.0,0
374,34823,944.0,213.0,0
375,45902,935.0,195.0,0
376,4663,932.0,189.0,0
377,33072,946.0,217.0,0
378,71198,942.0,209.0,0
379,31484,929.0,185.0,0
380,20231,927.0,183.0,0
381,17010,951.0,227.0,0
382,29898,939.0,203.0,0
