,task,earliest_start,start,end,product_index,activity_id,product_id
0,0,0,0,69,0,0,8
1,1,64,64,83,0,1,8
2,2,54,54,83,0,2,8
3,3,64,64,95,0,3,8
4,4,64,64,92,0,4,8
5,5,75,75,103,0,5,8
6,6,75,75,103,0,6,8
7,7,95,95,208,0,7,8
8,8,69,69,171,1,0,36
9,9,197,197,260,1,1,36
10,10,200,200,259,1,2,36
11,11,197,197,264,1,3,36
12,12,140,140,259,1,4,36
13,13,230,230,285,1,5,36
14,14,230,230,287,1,6,36
15,15,255,255,368,1,7,36
16,16,0,0,130,2,0,4
17,17,147,147,178,2,1,4
18,18,116,116,178,2,2,4
19,19,147,147,195,2,3,4
20,20,158,158,199,2,4,4
21,21,163,163,203,2,5,4
22,22,163,163,204,2,6,4
23,23,192,192,287,2,7,4
24,24,0,0,148,3,0,16
25,25,147,147,158,3,1,16
26,26,132,132,159,3,2,16
27,27,153,153,192,3,3,16
28,28,148,148,189,3,4,16
29,29,189,189,274,3,5,16
30,30,202,202,398,4,0,7
31,31,260,260,328,4,1,7
32,32,260,260,368,4,2,7
33,33,378,378,394,4,3,7
34,34,260,260,393,4,4,7
35,35,382,382,399,4,5,7
36,36,359,359,399,4,6,7
37,37,378,378,409,4,7,7
38,38,379,379,414,4,8,7
39,39,382,382,417,4,9,7
40,40,383,383,414,4,10,7
41,41,412,412,513,4,11,7
42,42,130,130,202,5,0,31
43,43,222,222,252,5,1,31
44,44,182,182,251,5,2,31
45,45,222,222,276,5,3,31
46,46,225,225,270,5,4,31
47,47,275,275,359,5,5,31
48,48,163,163,314,6,0,28
49,49,235,235,291,6,1,28
50,50,313,313,332,6,2,28
51,51,235,235,329,6,3,28
52,52,313,313,342,6,4,28
53,53,331,331,351,6,5,28
54,54,315,315,356,6,6,28
55,55,331,331,368,6,7,28
56,56,298,298,372,6,8,28
57,57,339,339,380,6,9,28
58,58,345,345,376,6,10,28
59,59,345,345,472,6,11,28
60,60,0,0,163,7,0,30
61,61,75,75,117,7,1,30
62,62,75,75,153,7,2,30
63,63,169,169,193,7,3,30
64,64,75,75,190,7,4,30
65,65,169,169,204,7,5,30
66,66,192,192,224,7,6,30
67,67,170,170,215,7,7,30
68,68,185,185,224,7,8,30
69,69,156,156,230,7,9,30
70,70,203,203,245,7,10,30
71,71,252,252,305,7,11,30
72,72,159,159,239,7,12,30
73,73,260,260,309,7,13,30
74,74,205,205,246,7,14,30
75,75,205,205,342,7,15,30
76,76,0,0,103,8,0,41
77,77,117,117,143,8,1,41
78,78,119,119,148,8,2,41
79,79,117,117,152,8,3,41
80,80,71,71,156,8,4,41
81,81,131,131,153,8,5,41
82,82,131,131,158,8,6,41
83,83,131,131,156,8,7,41
84,84,117,117,158,8,8,41
85,85,71,71,166,8,9,41
86,86,131,131,159,8,10,41
87,87,117,117,169,8,11,41
88,88,119,119,170,8,12,41
89,89,131,131,257,8,13,41
90,90,171,171,255,9,0,24
91,91,246,246,260,9,1,24
92,92,230,230,263,9,2,24
93,93,246,246,284,9,3,24
94,94,246,246,287,9,4,24
95,95,288,288,382,9,5,24
