,node_idx,weight,description
0,97,81,9_0_finish
1,118,93,8_0_finish
2,125,31,9_2_finish
3,56,42,9_4_finish
4,132,14,9_1_finish
5,22,74,8_4_finish
6,46,29,8_10_finish
7,99,96,1_0_finish
8,38,69,0_0_finish
9,12,111,1_7_finish
10,94,146,3_0_finish
11,106,12,3_1_finish
12,168,23,3_2_finish
13,159,175,7_0_finish
14,14,47,7_7_finish
15,24,38,7_8_finish
16,149,43,7_10_finish
17,192,57,6_1_finish
18,164,78,7_2_finish
19,178,150,6_0_finish
20,20,40,8_8_finish
21,128,84,7_12_finish
22,177,22,6_2_finish
23,15,113,7_4_finish
24,123,134,7_15_finish
25,189,77,5_0_finish
26,70,129,6_11_finish
27,1,143,2_0_finish
28,92,30,5_1_finish
29,145,31,0_4_finish
30,64,39,7_1_finish
31,42,48,5_3_finish
32,182,50,5_4_finish
33,23,59,2_2_finish
34,122,55,7_11_finish
35,179,66,5_2_finish
36,52,81,3_5_finish
37,13,33,7_6_finish
38,150,84,9_5_finish
39,71,84,5_5_finish
40,66,21,7_3_finish
41,133,32,8_1_finish
42,41,32,0_2_finish
43,126,43,9_3_finish
44,162,43,2_6_finish
45,62,42,2_5_finish
46,104,42,7_14_finish
47,161,43,2_4_finish
48,105,51,7_13_finish
49,9,29,2_1_finish
50,54,58,1_3_finish
51,79,58,4_1_finish
52,3,27,8_6_finish
53,33,27,8_5_finish
54,67,90,6_3_finish
55,50,66,7_9_finish
56,146,24,8_2_finish
57,18,36,7_5_finish
58,36,35,8_3_finish
59,127,62,1_1_finish
60,108,94,2_7_finish
61,32,94,8_9_finish
62,121,51,8_12_finish
63,130,52,8_11_finish
64,7,101,4_2_finish
65,171,175,4_0_finish
66,170,134,4_4_finish
67,4,16,4_3_finish
68,136,134,8_13_finish
69,39,22,0_1_finish
70,74,20,4_5_finish
71,135,31,0_5_finish
72,147,38,3_4_finish
73,175,33,6_4_finish
74,57,44,2_3_finish
75,21,52,1_6_finish
76,129,52,1_2_finish
77,69,32,6_7_finish
78,59,50,1_5_finish
79,47,32,4_7_finish
80,111,70,6_8_finish
81,89,32,4_9_finish
82,30,26,8_7_finish
83,156,35,6_6_finish
84,186,31,4_8_finish
85,120,31,0_6_finish
86,131,98,0_7_finish
87,98,43,6_9_finish
88,143,109,1_4_finish
89,190,36,4_10_finish
90,109,34,6_10_finish
91,60,44,3_3_finish
92,91,96,4_11_finish
93,40,31,0_3_finish
94,183,39,4_6_finish
95,43,24,6_5_finish
