,node_idx,assignment,description
0,58,0,Z
1,83,0,9_0_start
2,76,59,9_2_start
3,55,75,9_4_start
4,96,75,9_1_start
5,116,75,7_0_start
6,140,75,5_0_start
7,173,75,9_3_start
8,97,78,9_0_finish
9,132,89,9_1_finish
10,125,93,9_2_finish
11,56,114,9_4_finish
12,126,115,9_3_finish
13,152,117,9_5_start
14,138,127,5_2_start
15,65,150,7_2_start
16,189,150,5_0_finish
17,68,150,7_4_start
18,158,150,7_1_start
19,11,161,2_0_start
20,137,167,5_3_start
21,142,167,5_1_start
22,35,170,5_4_start
23,64,194,7_1_finish
24,92,196,5_1_finish
25,179,202,5_2_finish
26,150,215,9_5_finish
27,182,216,5_4_finish
28,25,220,5_5_start
29,42,223,5_3_finish
30,77,230,7_12_start
31,155,230,7_9_start
32,164,234,7_2_finish
33,8,245,7_7_start
34,10,245,7_5_start
35,75,245,8_0_start
36,165,245,7_3_start
37,159,246,7_0_finish
38,2,260,7_6_start
39,45,260,7_10_start
40,72,260,7_8_start
41,107,260,3_0_start
42,157,260,7_11_start
43,100,264,1_0_start
44,66,267,7_3_finish
45,176,269,7_13_start
46,15,270,7_4_finish
47,17,277,2_2_start
48,101,280,7_15_start
49,102,280,7_14_start
50,18,281,7_5_finish
51,14,286,7_7_finish
52,13,289,7_6_finish
53,24,297,7_8_finish
54,50,304,7_9_finish
55,16,308,2_1_start
56,149,308,7_10_finish
57,61,308,2_3_start
58,1,309,2_0_finish
59,160,310,2_4_start
60,122,316,7_11_finish
61,26,317,6_0_start
62,88,317,8_4_start
63,185,317,8_9_start
64,71,319,5_5_finish
65,128,323,7_12_finish
66,104,323,7_14_finish
67,63,324,2_5_start
68,163,324,2_6_start
69,105,326,7_13_finish
70,148,335,1_4_start
71,9,335,2_1_finish
72,23,338,2_2_finish
73,118,346,8_0_finish
74,161,349,2_4_finish
75,114,353,2_7_start
76,57,356,2_3_finish
77,86,362,8_8_start
78,154,362,4_0_start
79,180,362,8_1_start
80,49,364,8_2_start
81,84,364,8_12_start
82,181,364,8_3_start
83,187,364,8_11_start
84,162,367,2_6_finish
85,62,370,2_5_finish
86,99,375,1_0_finish
87,87,376,8_6_start
88,90,376,8_10_start
89,169,376,8_13_start
90,184,376,8_7_start
91,188,376,8_5_start
92,0,387,0_0_start
93,146,388,8_2_finish
94,6,389,6_1_start
95,27,389,6_3_start
96,133,391,8_1_finish
97,78,392,1_3_start
98,103,392,1_1_start
99,113,392,3_2_start
100,22,393,8_4_finish
101,174,395,1_2_start
102,36,397,8_3_finish
103,3,399,8_6_finish
104,33,399,8_5_finish
105,32,402,8_9_finish
106,20,405,8_8_finish
107,46,405,8_10_finish
108,30,405,8_7_finish
109,93,407,3_1_start
110,117,407,3_3_start
111,153,407,3_4_start
112,123,412,7_15_finish
113,168,416,3_2_finish
114,106,417,3_1_finish
115,28,420,4_1_start
116,130,420,8_11_finish
117,121,420,8_12_finish
118,31,420,4_2_start
119,34,420,4_4_start
120,94,423,3_0_finish
121,53,425,1_5_start
122,172,425,1_6_start
123,166,441,0_2_start
124,129,445,1_2_finish
125,192,447,6_1_finish
126,38,448,0_0_finish
127,44,449,3_5_start
128,73,450,1_7_start
129,80,451,0_1_start
130,147,451,3_4_finish
131,119,452,6_8_start
132,60,452,3_3_finish
133,81,452,0_3_start
134,144,452,0_4_start
135,127,453,1_1_finish
136,54,453,1_3_finish
137,108,458,2_7_finish
138,85,462,0_5_start
139,167,462,0_6_start
140,143,465,1_4_finish
141,5,467,6_2_start
142,29,467,6_4_start
143,51,469,6_6_start
144,39,472,0_1_finish
145,41,474,0_2_finish
146,21,479,1_6_finish
147,145,481,0_4_finish
148,82,482,0_7_start
149,59,482,1_5_finish
150,178,484,6_0_finish
151,124,485,6_7_start
152,40,485,0_3_finish
153,151,485,6_5_start
154,79,486,4_1_finish
155,177,488,6_2_finish
156,67,492,6_3_finish
157,110,493,6_9_start
158,120,493,0_6_finish
159,135,493,0_5_finish
160,95,499,6_10_start
161,112,499,6_11_start
162,175,501,6_4_finish
163,156,506,6_6_finish
164,43,508,6_5_finish
165,136,514,8_13_finish
166,37,519,4_6_start
167,69,521,6_7_finish
168,111,523,6_8_finish
169,98,529,6_9_finish
170,7,532,4_2_finish
171,109,534,6_10_finish
172,48,538,4_7_start
173,134,539,4_8_start
174,191,539,4_3_start
175,19,542,4_5_start
176,115,542,4_9_start
177,141,543,4_10_start
178,52,544,3_5_finish
179,171,544,4_0_finish
180,170,551,4_4_finish
181,4,557,4_3_finish
182,74,558,4_5_finish
183,183,563,4_6_finish
184,12,569,1_7_finish
185,186,569,4_8_finish
186,139,572,4_11_start
187,89,573,4_9_finish
188,47,573,4_7_finish
189,190,578,4_10_finish
190,131,594,0_7_finish
191,70,612,6_11_finish
192,91,676,4_11_finish
