instance_name,regret_mean,regret_std,relative_regret_mean,relative_regret_std,makespan_lb_mean,makespan_lb_std,makespan_stnu_mean,makespan_stnu_std
j1201_1,10.4,1.897,0.11,0.022,94.0,3.464,104.4,3.627
j1201_2,8.7,2.83,0.09,0.031,97.5,3.171,106.2,2.486
j1201_3,9.7,2.111,0.09,0.022,103.1,3.9,112.8,3.795
j1201_4,10.1,3.247,0.12,0.039,82.3,3.199,92.4,4.789
j1202_1,6.9,2.378,0.11,0.041,64.0,3.528,70.9,2.767
j1202_2,9.1,2.234,0.13,0.03,71.2,3.327,80.3,4.498
j1202_3,9.5,2.799,0.12,0.037,82.9,3.381,92.4,3.026
j1202_4,9.3,2.312,0.11,0.03,83.7,3.945,93.0,3.742
j1203_1,4.9,3.281,0.07,0.048,72.3,3.498,77.2,2.201
j1203_2,7.2,4.492,0.09,0.054,82.8,5.594,90.0,6.498
j1203_3,7.8,4.315,0.09,0.053,86.5,5.622,94.3,5.851
j1203_4,7.3,1.703,0.11,0.031,66.7,4.572,74.0,4.0
j1204_1,7.8,2.44,0.13,0.043,62.4,2.797,70.2,2.348
j1204_2,8.1,6.839,0.09,0.084,90.3,6.482,98.4,2.836
j1204_3,8.1,2.47,0.1,0.029,83.5,2.915,91.6,4.088
j1204_4,7.1,3.143,0.11,0.053,65.8,4.29,72.9,1.912
j301_1,1.4,1.578,0.04,0.046,36.6,2.757,38.0,2.667
j301_2,2.1,2.424,0.05,0.063,40.6,2.875,42.7,2.908
j301_3,1.3,1.337,0.03,0.037,39.3,4.057,40.6,3.688
j301_4,0.3,0.675,0.01,0.013,51.6,2.011,51.9,1.912
j302_1,0.3,0.675,0.01,0.022,32.1,2.47,32.4,2.271
j302_2,0.8,1.317,0.02,0.025,51.1,2.378,51.9,3.281
j302_3,1.0,2.0,0.03,0.058,40.2,3.824,41.2,2.936
j302_4,1.8,1.476,0.05,0.04,37.6,2.951,39.4,2.633
j303_1,0.7,1.337,0.01,0.021,63.9,4.999,64.6,4.993
j303_2,2.0,1.333,0.06,0.038,34.6,3.026,36.6,3.502
j303_3,1.8,3.458,0.04,0.077,51.6,5.038,53.4,3.239
j303_4,2.1,1.197,0.02,0.015,84.5,2.877,86.6,3.062
j304_1,1.3,1.418,0.03,0.033,44.7,2.627,46.0,2.708
j304_2,0.6,1.265,0.01,0.025,51.7,3.653,52.3,3.561
j304_3,1.0,1.333,0.02,0.032,42.2,3.795,43.2,3.824
j304_4,0.2,0.632,0.0,0.011,53.1,3.414,53.3,3.713
j601_1,2.6,3.565,0.04,0.052,68.7,3.945,71.3,4.398
j601_2,3.8,1.619,0.06,0.027,65.8,3.938,69.6,3.658
j601_3,3.9,1.969,0.06,0.031,65.3,2.669,69.2,2.821
j601_4,2.2,2.201,0.03,0.031,74.8,4.686,77.0,4.32
j602_1,0.9,1.197,0.02,0.021,58.9,3.414,59.8,3.048
j602_2,2.7,1.703,0.03,0.021,77.8,3.225,80.5,4.17
j602_3,6.2,3.19,0.09,0.053,67.7,4.448,73.9,3.725
j602_4,6.6,2.797,0.11,0.05,63.2,5.138,69.8,3.994
j603_1,1.7,1.767,0.03,0.038,52.8,3.938,54.5,2.991
j603_2,2.6,2.171,0.04,0.037,59.7,3.498,62.3,4.001
j603_3,3.3,3.093,0.04,0.037,88.7,5.122,92.0,4.546
j603_4,1.3,1.418,0.02,0.02,71.1,4.725,72.4,5.016
j604_1,2.0,1.764,0.03,0.024,74.0,4.372,76.0,4.372
j604_2,6.2,3.12,0.12,0.063,52.1,3.348,58.3,3.529
j604_3,0.5,0.707,0.01,0.013,54.4,5.211,54.9,5.174
j604_4,2.9,2.283,0.05,0.042,59.0,3.887,61.9,3.247
j901_1,6.6,3.34,0.1,0.053,66.1,2.183,72.7,2.83
j901_2,6.7,4.668,0.09,0.069,75.0,4.497,81.7,3.945
j901_3,6.5,3.171,0.11,0.054,61.3,2.214,67.8,2.781
j901_4,4.0,3.944,0.05,0.051,87.7,5.908,91.7,4.692
j902_1,7.9,3.665,0.1,0.053,82.2,6.143,90.1,3.446
j902_2,3.0,3.3,0.03,0.035,99.6,3.658,102.6,3.062
j902_3,4.0,2.867,0.06,0.048,63.2,3.736,67.2,3.36
j902_4,8.4,4.142,0.14,0.074,59.3,2.584,67.7,3.02
j903_1,4.7,3.683,0.07,0.066,67.9,6.471,72.6,4.222
j903_2,3.8,3.048,0.05,0.044,73.0,5.497,76.8,4.29
j903_3,3.7,3.129,0.06,0.048,63.4,3.134,67.1,4.202
j903_4,2.6,4.274,0.03,0.051,95.7,7.931,98.3,5.908
j904_1,4.5,2.635,0.06,0.036,80.9,6.574,85.4,4.402
j904_2,5.5,4.552,0.07,0.062,80.7,6.832,86.2,3.824
j904_3,5.4,2.951,0.09,0.053,58.7,2.406,64.1,2.079
j904_4,7.1,4.012,0.09,0.052,81.0,3.712,88.1,4.864
