,instance,status,sample,rcpsp/max_feasible,makespan_rte_star,makespan_pi,gap_pi
0,j10/PSP1,feasible_and_dc,0,True,33.0,33.0,0.0
1,j10/PSP2,infeasible,0,NotApplicable,,,
2,j10/PSP3,feasible_but_not_dc,0,NotApplicable,,,
3,j10/PSP4,feasible_but_not_dc,0,NotApplicable,,,
4,j10/PSP5,feasible_but_not_dc,0,NotApplicable,,,
5,j10/PSP6,infeasible,0,NotApplicable,,,
6,j10/PSP7,feasible_but_not_dc,0,NotApplicable,,,
7,j10/PSP8,feasible_but_not_dc,0,NotApplicable,,,
8,j10/PSP9,feasible_and_dc,0,True,60.0,60.0,0.0
9,j10/PSP10,feasible_and_dc,0,True,50.0,48.0,0.0
10,j10/PSP11,feasible_but_not_dc,0,NotApplicable,,,
11,j10/PSP12,infeasible,0,NotApplicable,,,
12,j10/PSP13,feasible_but_not_dc,0,NotApplicable,,,
13,j10/PSP14,infeasible,0,NotApplicable,,,
14,j10/PSP15,feasible_but_not_dc,0,NotApplicable,,,
15,j10/PSP16,feasible_and_dc,0,True,36.0,36.0,0.0
16,j10/PSP17,infeasible,0,NotApplicable,,,
17,j10/PSP18,feasible_and_dc,0,True,41.0,33.0,0.0
18,j10/PSP19,feasible_but_not_dc,0,NotApplicable,,,
19,j10/PSP20,feasible_and_dc,0,True,52.0,52.0,0.0
20,j10/PSP21,feasible_but_not_dc,0,NotApplicable,,,
21,j10/PSP22,feasible_but_not_dc,0,NotApplicable,,,
22,j10/PSP23,feasible_but_not_dc,0,NotApplicable,,,
23,j10/PSP24,feasible_and_dc,0,True,40.0,35.0,0.0
24,j10/PSP25,feasible_but_not_dc,0,NotApplicable,,,
25,j10/PSP26,infeasible,0,NotApplicable,,,
26,j10/PSP27,infeasible,0,NotApplicable,,,
27,j10/PSP28,feasible_and_dc,0,True,40.0,39.0,0.0
28,j10/PSP29,feasible_and_dc,0,True,39.0,39.0,0.0
29,j10/PSP30,feasible_but_not_dc,0,NotApplicable,,,
30,j10/PSP31,infeasible,0,NotApplicable,,,
31,j10/PSP32,infeasible,0,NotApplicable,,,
32,j10/PSP33,feasible_and_dc,0,True,89.0,89.0,0.0
33,j10/PSP34,feasible_but_not_dc,0,NotApplicable,,,
34,j10/PSP35,feasible_but_not_dc,0,NotApplicable,,,
35,j10/PSP36,feasible_but_not_dc,0,NotApplicable,,,
36,j10/PSP37,feasible_but_not_dc,0,NotApplicable,,,
37,j10/PSP38,feasible_but_not_dc,0,NotApplicable,,,
38,j10/PSP39,feasible_but_not_dc,0,NotApplicable,,,
39,j10/PSP40,infeasible,0,NotApplicable,,,
40,j10/PSP41,infeasible,0,NotApplicable,,,
41,j10/PSP42,infeasible,0,NotApplicable,,,
42,j10/PSP43,feasible_but_not_dc,0,NotApplicable,,,
43,j10/PSP44,feasible_but_not_dc,0,NotApplicable,,,
44,j10/PSP45,feasible_but_not_dc,0,NotApplicable,,,
