,instance_name,iteration,makespan_stnu,makespan_lb,time_initial_cp,time_build_stnu,time_dc_checking,time_rte,time_cp_lb
0,j301_1,0,66,35,0.05689287185668945,0.020332813262939453,0.295881986618042,0.08631515502929688,0.0493321418762207
1,j301_1,1,73,34,0.05689287185668945,0.020332813262939453,0.295881986618042,0.0875389575958252,0.05234408378601074
2,j301_1,2,75,35,0.05689287185668945,0.020332813262939453,0.295881986618042,0.08505678176879883,0.052121877670288086
3,j301_1,3,70,36,0.05689287185668945,0.020332813262939453,0.295881986618042,0.08572101593017578,0.08034801483154297
4,j301_1,4,75,39,0.05689287185668945,0.020332813262939453,0.295881986618042,0.0879371166229248,0.05039834976196289
5,j301_1,5,74,41,0.05689287185668945,0.020332813262939453,0.295881986618042,0.08695507049560547,0.05652213096618652
6,j301_1,6,73,34,0.05689287185668945,0.020332813262939453,0.295881986618042,0.08837699890136719,0.050132036209106445
7,j301_1,7,72,33,0.05689287185668945,0.020332813262939453,0.295881986618042,0.08919596672058105,0.052175045013427734
8,j301_1,8,73,35,0.05689287185668945,0.020332813262939453,0.295881986618042,0.08838915824890137,0.05283617973327637
9,j301_1,9,69,35,0.05689287185668945,0.020332813262939453,0.295881986618042,0.08923530578613281,0.0499722957611084
10,j301_2,0,89,39,0.05517578125,0.018734216690063477,0.2952151298522949,0.08428812026977539,0.05195498466491699
11,j301_2,1,85,40,0.05517578125,0.018734216690063477,0.2952151298522949,0.08867621421813965,0.051583051681518555
12,j301_2,2,88,39,0.05517578125,0.018734216690063477,0.2952151298522949,0.08690214157104492,0.05289912223815918
13,j301_2,3,82,41,0.05517578125,0.018734216690063477,0.2952151298522949,0.08739686012268066,0.04991316795349121
14,j301_2,4,80,35,0.05517578125,0.018734216690063477,0.2952151298522949,0.09079122543334961,0.051312923431396484
15,j301_2,5,89,46,0.05517578125,0.018734216690063477,0.2952151298522949,0.08706283569335938,0.05204892158508301
16,j301_2,6,88,40,0.05517578125,0.018734216690063477,0.2952151298522949,0.08693504333496094,0.04924798011779785
17,j301_2,7,73,34,0.05517578125,0.018734216690063477,0.2952151298522949,0.08732795715332031,0.051525115966796875
18,j301_2,8,92,41,0.05517578125,0.018734216690063477,0.2952151298522949,0.08567976951599121,0.05074715614318848
19,j301_2,9,90,43,0.05517578125,0.018734216690063477,0.2952151298522949,0.08272600173950195,0.0492861270904541
20,j301_3,0,80,39,0.05358004570007324,0.017652034759521484,0.3126351833343506,0.08371925354003906,0.04916691780090332
21,j301_3,1,74,43,0.05358004570007324,0.017652034759521484,0.3126351833343506,0.09000182151794434,0.05772900581359863
22,j301_3,2,73,39,0.05358004570007324,0.017652034759521484,0.3126351833343506,0.0836641788482666,0.059374094009399414
23,j301_3,3,74,36,0.05358004570007324,0.017652034759521484,0.3126351833343506,0.08411908149719238,0.049391984939575195
24,j301_3,4,73,39,0.05358004570007324,0.017652034759521484,0.3126351833343506,0.0828559398651123,0.04983091354370117
25,j301_3,5,73,42,0.05358004570007324,0.017652034759521484,0.3126351833343506,0.0837869644165039,0.053444862365722656
26,j301_3,6,79,41,0.05358004570007324,0.017652034759521484,0.3126351833343506,0.0856168270111084,0.0501399040222168
27,j301_3,7,74,38,0.05358004570007324,0.017652034759521484,0.3126351833343506,0.08604097366333008,0.0508580207824707
28,j301_3,8,76,41,0.05358004570007324,0.017652034759521484,0.3126351833343506,0.08447098731994629,0.054908037185668945
29,j301_3,9,67,36,0.05358004570007324,0.017652034759521484,0.3126351833343506,0.08663678169250488,0.050518035888671875
30,j301_4,0,101,53,0.05472111701965332,0.01804327964782715,0.30456089973449707,0.17975687980651855,0.05742192268371582
31,j301_4,1,99,45,0.05472111701965332,0.01804327964782715,0.30456089973449707,0.08785200119018555,0.05244898796081543
32,j301_4,2,103,53,0.05472111701965332,0.01804327964782715,0.30456089973449707,0.08895683288574219,0.04958796501159668
33,j301_4,3,92,48,0.05472111701965332,0.01804327964782715,0.30456089973449707,0.08574104309082031,0.05264687538146973
34,j301_4,4,94,45,0.05472111701965332,0.01804327964782715,0.30456089973449707,0.08418416976928711,0.049146175384521484
35,j301_4,5,101,52,0.05472111701965332,0.01804327964782715,0.30456089973449707,0.08495616912841797,0.05098581314086914
36,j301_4,6,103,52,0.05472111701965332,0.01804327964782715,0.30456089973449707,0.08491301536560059,0.05190396308898926
37,j301_4,7,108,59,0.05472111701965332,0.01804327964782715,0.30456089973449707,0.0857541561126709,0.04889702796936035
38,j301_4,8,94,48,0.05472111701965332,0.01804327964782715,0.30456089973449707,0.08684635162353516,0.051349639892578125
39,j301_4,9,95,45,0.05472111701965332,0.01804327964782715,0.30456089973449707,0.08573579788208008,0.05359387397766113
40,j301_5,0,52,27,0.05894184112548828,0.017440080642700195,0.3030059337615967,0.08394289016723633,0.05184006690979004
41,j301_5,1,61,30,0.05894184112548828,0.017440080642700195,0.3030059337615967,0.08709311485290527,0.05224299430847168
42,j301_5,2,52,25,0.05894184112548828,0.017440080642700195,0.3030059337615967,0.0851602554321289,0.06192493438720703
43,j301_5,3,58,31,0.05894184112548828,0.017440080642700195,0.3030059337615967,0.08811306953430176,0.053108930587768555
44,j301_5,4,51,29,0.05894184112548828,0.017440080642700195,0.3030059337615967,0.08526921272277832,0.05112504959106445
45,j301_5,5,57,30,0.05894184112548828,0.017440080642700195,0.3030059337615967,0.08211493492126465,0.05559825897216797
46,j301_5,6,49,28,0.05894184112548828,0.017440080642700195,0.3030059337615967,0.08582401275634766,0.05253720283508301
47,j301_5,7,52,25,0.05894184112548828,0.017440080642700195,0.3030059337615967,0.08870816230773926,0.05167698860168457
48,j301_5,8,56,29,0.05894184112548828,0.017440080642700195,0.3030059337615967,0.0854640007019043,0.05314993858337402
49,j301_5,9,48,27,0.05894184112548828,0.017440080642700195,0.3030059337615967,0.08553409576416016,0.051249027252197266
50,j301_6,0,52,42,0.05377197265625,0.07313895225524902,0.29718780517578125,0.08224201202392578,0.050028085708618164
51,j301_6,1,49,35,0.05377197265625,0.07313895225524902,0.29718780517578125,0.08548521995544434,0.053858041763305664
52,j301_6,2,52,41,0.05377197265625,0.07313895225524902,0.29718780517578125,0.08387207984924316,0.0525357723236084
53,j301_6,3,55,41,0.05377197265625,0.07313895225524902,0.29718780517578125,0.0859382152557373,0.050585031509399414
54,j301_6,4,53,38,0.05377197265625,0.07313895225524902,0.29718780517578125,0.08573794364929199,0.05170130729675293
55,j301_6,5,48,37,0.05377197265625,0.07313895225524902,0.29718780517578125,0.08308792114257812,0.051782846450805664
56,j301_6,6,49,40,0.05377197265625,0.07313895225524902,0.29718780517578125,0.08388590812683105,0.049904823303222656
57,j301_6,7,50,38,0.05377197265625,0.07313895225524902,0.29718780517578125,0.08527493476867676,0.05261516571044922
58,j301_6,8,52,37,0.05377197265625,0.07313895225524902,0.29718780517578125,0.0842890739440918,0.054189205169677734
59,j301_6,9,54,41,0.05377197265625,0.07313895225524902,0.29718780517578125,0.08397102355957031,0.05056905746459961
60,j301_7,0,74,60,0.05421900749206543,0.019058942794799805,0.2962799072265625,0.08574891090393066,0.05007600784301758
61,j301_7,1,74,59,0.05421900749206543,0.019058942794799805,0.2962799072265625,0.08783483505249023,0.05222177505493164
62,j301_7,2,65,50,0.05421900749206543,0.019058942794799805,0.2962799072265625,0.08374309539794922,0.05425882339477539
63,j301_7,3,68,48,0.05421900749206543,0.019058942794799805,0.2962799072265625,0.08745527267456055,0.050897836685180664
64,j301_7,4,66,47,0.05421900749206543,0.019058942794799805,0.2962799072265625,0.0888669490814209,0.051473140716552734
65,j301_7,5,73,54,0.05421900749206543,0.019058942794799805,0.2962799072265625,0.08604717254638672,0.05329489707946777
66,j301_7,6,67,46,0.05421900749206543,0.019058942794799805,0.2962799072265625,0.08615279197692871,0.05201983451843262
67,j301_7,7,68,48,0.05421900749206543,0.019058942794799805,0.2962799072265625,0.0865471363067627,0.04962778091430664
68,j301_7,8,58,43,0.05421900749206543,0.019058942794799805,0.2962799072265625,0.08531904220581055,0.05292201042175293
69,j301_7,9,77,56,0.05421900749206543,0.019058942794799805,0.2962799072265625,0.08785605430603027,0.04892897605895996
70,j301_8,0,90,46,0.05230998992919922,0.01748514175415039,0.3031489849090576,0.08488011360168457,0.050089120864868164
71,j301_8,1,81,49,0.05230998992919922,0.01748514175415039,0.3031489849090576,0.08329510688781738,0.05241107940673828
72,j301_8,2,89,53,0.05230998992919922,0.01748514175415039,0.3031489849090576,0.08175086975097656,0.05184507369995117
73,j301_8,3,77,50,0.05230998992919922,0.01748514175415039,0.3031489849090576,0.08405089378356934,0.04963278770446777
74,j301_8,4,85,48,0.05230998992919922,0.01748514175415039,0.3031489849090576,0.08734798431396484,0.051796913146972656
75,j301_8,5,77,41,0.05230998992919922,0.01748514175415039,0.3031489849090576,0.08389616012573242,0.052629947662353516
76,j301_8,6,83,51,0.05230998992919922,0.01748514175415039,0.3031489849090576,0.0834190845489502,0.04974794387817383
77,j301_8,7,77,42,0.05230998992919922,0.01748514175415039,0.3031489849090576,0.08534693717956543,0.050865888595581055
78,j301_8,8,80,45,0.05230998992919922,0.01748514175415039,0.3031489849090576,0.08218860626220703,0.05388212203979492
79,j301_8,9,86,50,0.05230998992919922,0.01748514175415039,0.3031489849090576,0.08353424072265625,0.049696922302246094
80,j301_9,0,70,41,0.05600380897521973,0.018731117248535156,0.30309200286865234,0.08301806449890137,0.05318021774291992
81,j301_9,1,79,41,0.05600380897521973,0.018731117248535156,0.30309200286865234,0.08694601058959961,0.050849199295043945
82,j301_9,2,81,45,0.05600380897521973,0.018731117248535156,0.30309200286865234,0.08731794357299805,0.05267691612243652
83,j301_9,3,78,44,0.05600380897521973,0.018731117248535156,0.30309200286865234,0.09111976623535156,0.058132171630859375
84,j301_9,4,79,50,0.05600380897521973,0.018731117248535156,0.30309200286865234,0.08786702156066895,0.05025982856750488
85,j301_9,5,80,45,0.05600380897521973,0.018731117248535156,0.30309200286865234,0.13486576080322266,0.052416086196899414
86,j301_9,6,63,39,0.05600380897521973,0.018731117248535156,0.30309200286865234,0.08829617500305176,0.05554389953613281
87,j301_9,7,79,44,0.05600380897521973,0.018731117248535156,0.30309200286865234,0.08856391906738281,0.05907773971557617
88,j301_9,8,77,45,0.05600380897521973,0.018731117248535156,0.30309200286865234,0.08953285217285156,0.05148506164550781
89,j301_9,9,86,49,0.05600380897521973,0.018731117248535156,0.30309200286865234,0.09163904190063477,0.05148005485534668
90,j301_10,0,76,44,0.051064252853393555,0.018204927444458008,0.3125629425048828,0.08643198013305664,0.05969572067260742
91,j301_10,1,70,43,0.051064252853393555,0.018204927444458008,0.3125629425048828,0.08746004104614258,0.08418393135070801
92,j301_10,2,75,47,0.051064252853393555,0.018204927444458008,0.3125629425048828,0.08872199058532715,0.055496931076049805
93,j301_10,3,76,44,0.051064252853393555,0.018204927444458008,0.3125629425048828,0.08643889427185059,0.07380390167236328
