,instance,it,makespan_lb,makespan_stnu,regret,instance_type
0,10_1_factory_1,0,535,1492,957,1
1,10_1_factory_1,1,505,1503,998,1
2,10_1_factory_1,2,514,1505,991,1
3,10_1_factory_1,3,515,1490,975,1
4,10_1_factory_1,4,529,1479,950,1
5,10_1_factory_1,5,535,1501,966,1
6,10_1_factory_1,6,525,1495,970,1
7,10_1_factory_1,7,537,1492,955,1
8,10_1_factory_1,8,536,1506,970,1
9,10_1_factory_1,9,517,1496,979,1
10,10_1_factory_1,0,514,659,145,2
11,10_1_factory_1,1,520,678,158,2
12,10_1_factory_1,2,521,675,154,2
13,10_1_factory_1,3,516,663,147,2
14,10_1_factory_1,4,523,675,152,2
15,10_1_factory_1,5,532,678,146,2
16,10_1_factory_1,6,519,660,141,2
17,10_1_factory_1,7,529,665,136,2
18,10_1_factory_1,8,538,670,132,2
19,10_1_factory_1,9,539,671,132,2
20,10_2_factory_1,0,553,715,162,1
21,10_2_factory_1,1,561,744,183,1
22,10_2_factory_1,2,548,714,166,1
23,10_2_factory_1,3,558,723,165,1
24,10_2_factory_1,4,554,749,195,1
25,10_2_factory_1,5,574,743,169,1
26,10_2_factory_1,6,547,741,194,1
27,10_2_factory_1,7,582,720,138,1
28,10_2_factory_1,8,578,728,150,1
29,10_2_factory_1,9,572,725,153,1
30,10_2_factory_1,0,564,612,48,2
31,10_2_factory_1,1,562,597,35,2
32,10_2_factory_1,2,553,597,44,2
33,10_2_factory_1,3,561,593,32,2
34,10_2_factory_1,4,573,614,41,2
35,10_2_factory_1,5,547,606,59,2
36,10_2_factory_1,6,590,615,25,2
37,10_2_factory_1,7,569,593,24,2
38,10_2_factory_1,8,568,611,43,2
39,10_2_factory_1,9,562,604,42,2
40,10_3_factory_1,0,728,1195,467,1
41,10_3_factory_1,1,762,1339,577,1
42,10_3_factory_1,2,720,1194,474,1
43,10_3_factory_1,3,749,1321,572,1
44,10_3_factory_1,4,744,1341,597,1
45,10_3_factory_1,5,745,1357,612,1
46,10_3_factory_1,6,742,1182,440,1
47,10_3_factory_1,7,727,1178,451,1
48,10_3_factory_1,8,763,1193,430,1
49,10_3_factory_1,9,743,1343,600,1
50,10_3_factory_1,0,715,1078,363,2
51,10_3_factory_1,1,737,1063,326,2
52,10_3_factory_1,2,758,1061,303,2
53,10_3_factory_1,3,726,1057,331,2
54,10_3_factory_1,4,759,1077,318,2
55,10_3_factory_1,5,761,1070,309,2
56,10_3_factory_1,6,734,1055,321,2
57,10_3_factory_1,7,722,1066,344,2
58,10_3_factory_1,8,733,1046,313,2
59,10_3_factory_1,9,729,1064,335,2
