,instance,it,makespan_lb,gap_lb,makespan_stnu,regret,rel_regret,instance_type,status
0,10_1_factory_1,0.0,527.0,0.0,527.0,0.0,0.0,1,feasible_and_dc
1,10_1_factory_1,1.0,515.0,0.0,515.0,0.0,0.0,1,feasible_and_dc
2,10_1_factory_1,2.0,515.0,0.0,515.0,0.0,0.0,1,feasible_and_dc
3,10_1_factory_1,3.0,547.0,0.0,547.0,0.0,0.0,1,feasible_and_dc
4,10_1_factory_1,4.0,524.0,0.0,524.0,0.0,0.0,1,feasible_and_dc
5,10_1_factory_1,5.0,530.0,0.0,530.0,0.0,0.0,1,feasible_and_dc
6,10_1_factory_1,6.0,524.0,0.0,524.0,0.0,0.0,1,feasible_and_dc
7,10_1_factory_1,7.0,524.0,0.0,524.0,0.0,0.0,1,feasible_and_dc
8,10_1_factory_1,8.0,517.0,0.0,517.0,0.0,0.0,1,feasible_and_dc
9,10_1_factory_1,9.0,527.0,0.0,527.0,0.0,0.0,1,feasible_and_dc
10,10_1_factory_1,0.0,540.0,0.0,554.0,14.0,0.025925925925925925,2,feasible_and_dc
11,10_1_factory_1,1.0,521.0,0.0,557.0,36.0,0.0690978886756238,2,feasible_and_dc
12,10_1_factory_1,2.0,529.0,0.0,558.0,29.0,0.054820415879017016,2,feasible_and_dc
13,10_1_factory_1,3.0,540.0,0.0,553.0,13.0,0.024074074074074074,2,feasible_and_dc
14,10_1_factory_1,4.0,529.0,0.0,556.0,27.0,0.05103969754253308,2,feasible_and_dc
15,10_1_factory_1,5.0,504.0,0.0,548.0,44.0,0.0873015873015873,2,feasible_and_dc
16,10_1_factory_1,6.0,520.0,0.0,542.0,22.0,0.04230769230769231,2,feasible_and_dc
17,10_1_factory_1,7.0,526.0,0.0,552.0,26.0,0.049429657794676805,2,feasible_and_dc
18,10_1_factory_1,8.0,527.0,0.0,557.0,30.0,0.056925996204933584,2,feasible_and_dc
19,10_1_factory_1,9.0,524.0,0.0,544.0,20.0,0.03816793893129771,2,feasible_and_dc
20,10_2_factory_1,0.0,565.0,0.0,565.0,0.0,0.0,1,feasible_and_dc
21,10_2_factory_1,1.0,553.0,0.0,553.0,0.0,0.0,1,feasible_and_dc
22,10_2_factory_1,2.0,569.0,0.0,569.0,0.0,0.0,1,feasible_and_dc
23,10_2_factory_1,3.0,566.0,0.0,566.0,0.0,0.0,1,feasible_and_dc
24,10_2_factory_1,4.0,561.0,0.0,561.0,0.0,0.0,1,feasible_and_dc
25,10_2_factory_1,5.0,553.0,0.0,581.0,28.0,0.05063291139240506,1,feasible_and_dc
26,10_2_factory_1,6.0,560.0,0.0,570.0,10.0,0.017857142857142856,1,feasible_and_dc
27,10_2_factory_1,7.0,562.0,0.0,562.0,0.0,0.0,1,feasible_and_dc
28,10_2_factory_1,8.0,576.0,0.0,576.0,0.0,0.0,1,feasible_and_dc
29,10_2_factory_1,9.0,547.0,0.0,547.0,0.0,0.0,1,feasible_and_dc
30,10_2_factory_1,0.0,569.0,0.0,593.0,24.0,0.0421792618629174,2,feasible_and_dc
31,10_2_factory_1,1.0,564.0,0.0,609.0,45.0,0.0797872340425532,2,feasible_and_dc
32,10_2_factory_1,2.0,578.0,0.0,593.0,15.0,0.025951557093425604,2,feasible_and_dc
33,10_2_factory_1,3.0,575.0,0.0,604.0,29.0,0.050434782608695654,2,feasible_and_dc
34,10_2_factory_1,4.0,566.0,0.0,608.0,42.0,0.07420494699646643,2,feasible_and_dc
35,10_2_factory_1,5.0,566.0,0.0,607.0,41.0,0.07243816254416961,2,feasible_and_dc
36,10_2_factory_1,6.0,576.0,0.0,602.0,26.0,0.04513888888888889,2,feasible_and_dc
37,10_2_factory_1,7.0,550.0,0.0,596.0,46.0,0.08363636363636363,2,feasible_and_dc
38,10_2_factory_1,8.0,560.0,0.0,606.0,46.0,0.08214285714285714,2,feasible_and_dc
39,10_2_factory_1,9.0,571.0,0.0,596.0,25.0,0.043782837127845885,2,feasible_and_dc
40,10_3_factory_1,0.0,736.0,0.0,756.0,20.0,0.02717391304347826,1,feasible_and_dc
41,10_3_factory_1,1.0,746.0,0.0,761.0,15.0,0.020107238605898123,1,feasible_and_dc
42,10_3_factory_1,2.0,735.0,0.0,735.0,0.0,0.0,1,feasible_and_dc
43,10_3_factory_1,3.0,730.0,0.0,755.0,25.0,0.03424657534246575,1,feasible_and_dc
44,10_3_factory_1,4.0,752.0,0.0,752.0,0.0,0.0,1,feasible_and_dc
45,10_3_factory_1,5.0,766.0,0.0,766.0,0.0,0.0,1,feasible_and_dc
46,10_3_factory_1,6.0,743.0,0.0,761.0,18.0,0.024226110363391656,1,feasible_and_dc
47,10_3_factory_1,7.0,750.0,0.0,750.0,0.0,0.0,1,feasible_and_dc
48,10_3_factory_1,8.0,745.0,0.0,755.0,10.0,0.013422818791946308,1,feasible_and_dc
49,10_3_factory_1,9.0,744.0,0.0,746.0,2.0,0.002688172043010753,1,feasible_and_dc
50,10_3_factory_1,0.0,760.0,0.0,780.0,20.0,0.02631578947368421,2,feasible_and_dc
51,10_3_factory_1,1.0,704.0,0.0,804.0,100.0,0.14204545454545456,2,feasible_and_dc
52,10_3_factory_1,2.0,728.0,0.0,773.0,45.0,0.061813186813186816,2,feasible_and_dc
53,10_3_factory_1,3.0,748.0,0.0,778.0,30.0,0.040106951871657755,2,feasible_and_dc
