,instance,it,makespan_lb,makespan_stnu,regret,rel_regret,instance_type,status
0,10_1_factory_1,0.0,559.0,690.0,131.0,0.23434704830053668,1,feasible_and_dc
1,10_1_factory_1,0.0,559.0,1547.0,988.0,1.7674418604651163,2,feasible_and_dc
2,10_2_factory_1,0.0,611.0,759.0,148.0,0.24222585924713586,1,feasible_and_dc
3,10_2_factory_1,0.0,611.0,1613.0,1002.0,1.6399345335515547,2,feasible_and_dc
4,10_3_factory_1,0.0,818.0,1076.0,258.0,0.3154034229828851,1,feasible_and_dc
5,10_3_factory_1,0.0,818.0,1428.0,610.0,0.7457212713936431,2,feasible_and_dc
6,20_1_factory_1,0.0,989.0,1595.0,606.0,0.6127401415571284,1,feasible_and_dc
7,20_1_factory_1,0.0,1023.0,3209.0,2186.0,2.136852394916911,2,feasible_and_dc
8,20_2_factory_1,0.0,1310.0,1963.0,653.0,0.4984732824427481,1,feasible_and_dc
9,20_2_factory_1,,,,,,2,infeasible
10,20_3_factory_1,0.0,1024.0,1697.0,673.0,0.6572265625,1,feasible_and_dc
11,20_3_factory_1,0.0,1024.0,3659.0,2635.0,2.5732421875,2,feasible_and_dc
