,instance,it,makespan_lb,gap_lb,makespan_stnu,regret,rel_regret,instance_type,status
0,10_1_factory_1,0.0,540.0,0.0,555.0,15.0,0.027777777777777776,2,feasible_and_dc
1,10_1_factory_1,1.0,515.0,0.0,545.0,30.0,0.05825242718446602,2,feasible_and_dc
2,10_1_factory_1,2.0,510.0,0.0,548.0,38.0,0.07450980392156863,2,feasible_and_dc
3,10_1_factory_1,3.0,519.0,0.0,546.0,27.0,0.05202312138728324,2,feasible_and_dc
4,10_1_factory_1,4.0,507.0,0.0,551.0,44.0,0.08678500986193294,2,feasible_and_dc
5,10_1_factory_1,5.0,518.0,0.0,560.0,42.0,0.08108108108108109,2,feasible_and_dc
6,10_1_factory_1,6.0,524.0,0.0,552.0,28.0,0.05343511450381679,2,feasible_and_dc
7,10_1_factory_1,7.0,511.0,0.0,549.0,38.0,0.07436399217221135,2,feasible_and_dc
8,10_1_factory_1,8.0,508.0,0.0,545.0,37.0,0.07283464566929133,2,feasible_and_dc
9,10_1_factory_1,9.0,531.0,0.0,560.0,29.0,0.054613935969868174,2,feasible_and_dc
10,10_2_factory_1,0.0,559.0,0.0,595.0,36.0,0.06440071556350627,2,feasible_and_dc
11,10_2_factory_1,1.0,575.0,0.0,609.0,34.0,0.059130434782608696,2,feasible_and_dc
12,10_2_factory_1,2.0,563.0,0.0,591.0,28.0,0.0497335701598579,2,feasible_and_dc
13,10_2_factory_1,3.0,581.0,0.0,610.0,29.0,0.04991394148020654,2,feasible_and_dc
14,10_2_factory_1,4.0,573.0,0.0,607.0,34.0,0.059336823734729496,2,feasible_and_dc
15,10_2_factory_1,5.0,586.0,0.0,608.0,22.0,0.03754266211604096,2,feasible_and_dc
16,10_2_factory_1,6.0,552.0,0.0,595.0,43.0,0.07789855072463768,2,feasible_and_dc
17,10_2_factory_1,7.0,564.0,0.0,593.0,29.0,0.051418439716312055,2,feasible_and_dc
18,10_2_factory_1,8.0,551.0,0.0,588.0,37.0,0.06715063520871144,2,feasible_and_dc
19,10_2_factory_1,9.0,582.0,0.0,602.0,20.0,0.03436426116838488,2,feasible_and_dc
20,20_1_factory_1,,,,,,,2,feasible_but_not_dc
21,20_2_factory_1,0.0,1201.0,0.0,1256.0,55.0,0.04579517069109076,2,feasible_and_dc
22,20_2_factory_1,1.0,1177.0,0.0,1235.0,58.0,0.04927782497875956,2,feasible_and_dc
23,20_2_factory_1,2.0,1200.0,0.0,1265.0,65.0,0.05416666666666667,2,feasible_and_dc
24,20_2_factory_1,3.0,1168.0,0.0,1250.0,82.0,0.0702054794520548,2,feasible_and_dc
25,20_2_factory_1,4.0,1167.0,0.0,1243.0,76.0,0.06512425021422451,2,feasible_and_dc
26,20_2_factory_1,5.0,1187.0,0.0,1265.0,78.0,0.06571187868576242,2,feasible_and_dc
27,20_2_factory_1,6.0,1194.0,0.0,1273.0,79.0,0.0661641541038526,2,feasible_and_dc
28,20_2_factory_1,7.0,1207.0,0.0,1249.0,42.0,0.0347970173985087,2,feasible_and_dc
