,instance,it,makespan_lb,gap_lb,makespan_stnu,regret,rel_regret,instance_type,status
0,10_1_factory_1,0,542,0,542,0,0.0,1,rte_success
1,10_1_factory_1,1,510,0,510,0,0.0,1,rte_success
2,10_1_factory_1,2,525,0,525,0,0.0,1,rte_success
3,10_1_factory_1,3,526,0,526,0,0.0,1,rte_success
4,10_1_factory_1,4,516,0,516,0,0.0,1,rte_success
5,10_1_factory_1,5,509,0,509,0,0.0,1,rte_success
6,10_1_factory_1,6,529,0,529,0,0.0,1,rte_success
7,10_1_factory_1,7,548,0,548,0,0.0,1,rte_success
8,10_1_factory_1,8,528,0,528,0,0.0,1,rte_success
9,10_1_factory_1,9,510,0,510,0,0.0,1,rte_success
10,10_2_factory_1,0,579,0,586,7,0.012089810017271158,1,rte_success
11,10_2_factory_1,1,575,0,599,24,0.04173913043478261,1,rte_success
12,10_2_factory_1,2,559,0,559,0,0.0,1,rte_success
13,10_2_factory_1,3,570,0,570,0,0.0,1,rte_success
14,10_2_factory_1,4,563,0,569,6,0.010657193605683837,1,rte_success
15,10_2_factory_1,5,561,0,574,13,0.023172905525846704,1,rte_success
16,10_2_factory_1,6,572,0,572,0,0.0,1,rte_success
17,10_2_factory_1,7,552,0,552,0,0.0,1,rte_success
18,10_2_factory_1,8,563,0,570,7,0.012433392539964476,1,rte_success
19,10_2_factory_1,9,552,0,552,0,0.0,1,rte_success
20,20_1_factory_1,0,918,0,918,0,0.0,1,rte_success
21,20_1_factory_1,1,905,0,906,1,0.0011049723756906078,1,rte_success
22,20_1_factory_1,2,897,0,928,31,0.03455964325529543,1,rte_success
23,20_1_factory_1,3,881,0,881,0,0.0,1,rte_success
24,20_1_factory_1,4,914,0,914,0,0.0,1,rte_success
25,20_1_factory_1,5,899,0,907,8,0.008898776418242492,1,rte_success
26,20_1_factory_1,6,880,0,880,0,0.0,1,rte_success
27,20_1_factory_1,7,939,0,939,0,0.0,1,rte_success
