task,earliest_start,start,end,product_index,activity_id,product_id
0,0,0,65,0,0,8
1,64,64,83,0,1,8
2,54,54,86,0,2,8
3,64,64,97,0,3,8
4,64,64,94,0,4,8
5,75,75,104,0,5,8
6,75,75,103,0,6,8
7,95,95,191,0,7,8
8,65,65,169,1,0,36
9,193,193,255,1,1,36
10,196,196,249,1,2,36
11,193,193,257,1,3,36
12,136,136,261,1,4,36
13,226,226,285,1,5,36
14,226,226,279,1,6,36
15,251,251,371,1,7,36
16,0,0,154,2,0,4
17,147,147,178,2,1,4
18,116,116,178,2,2,4
19,147,147,194,2,3,4
20,154,154,199,2,4,4
21,163,163,207,2,5,4
22,163,163,209,2,6,4
23,192,192,297,2,7,4
24,0,0,172,3,0,16
25,147,147,158,3,1,16
26,132,132,159,3,2,16
27,154,154,194,3,3,16
28,148,148,188,3,4,16
29,189,189,271,3,5,16
30,224,224,415,4,0,7
31,282,282,347,4,1,7
32,282,282,396,4,2,7
33,400,400,419,4,3,7
34,282,282,415,4,4,7
35,404,404,423,4,5,7
36,381,381,423,4,6,7
37,400,400,435,4,7,7
38,401,401,436,4,8,7
39,404,404,437,4,9,7
40,405,405,435,4,10,7
41,434,434,533,4,11,7
42,154,154,224,5,0,31
43,246,246,273,5,1,31
44,206,206,269,5,2,31
45,246,246,303,5,3,31
46,249,249,297,5,4,31
47,299,299,392,5,5,31
48,191,191,342,6,0,28
49,263,263,328,6,1,28
50,341,341,361,6,2,28
51,263,263,359,6,3,28
52,341,341,374,6,4,28
53,359,359,380,6,5,28
54,343,343,378,6,6,28
55,359,359,394,6,7,28
56,326,326,396,6,8,28
57,367,367,404,6,9,28
58,373,373,406,6,10,28
59,373,373,505,6,11,28
60,0,0,191,7,0,30
61,75,75,118,7,1,30
62,75,75,162,7,2,30
63,169,169,190,7,3,30
64,75,75,185,7,4,30
65,194,194,233,7,5,30
66,194,194,222,7,6,30
67,170,170,211,7,7,30
68,185,185,224,7,8,30
69,155,155,227,7,9,30
70,255,255,302,7,10,30
71,185,185,238,7,11,30
72,155,155,250,7,12,30
73,285,285,334,7,13,30
74,205,205,249,7,14,30
75,205,205,334,7,15,30
76,0,0,98,8,0,41
77,117,117,147,8,1,41
78,119,119,148,8,2,41
79,117,117,151,8,3,41
80,71,71,155,8,4,41
81,131,131,154,8,5,41
82,131,131,154,8,6,41
83,131,131,155,8,7,41
84,117,117,159,8,8,41
85,71,71,152,8,9,41
86,131,131,159,8,10,41
87,117,117,167,8,11,41
88,119,119,169,8,12,41
89,131,131,272,8,13,41
90,169,169,255,9,0,24
91,244,244,261,9,1,24
92,228,228,260,9,2,24
93,244,244,288,9,3,24
94,244,244,284,9,4,24
95,286,286,375,9,5,24
