,i,description,assignment
0,58,Z,0
1,0,0_0_start,0
2,11,2_0_start,0
3,38,0_0_finish,65
4,16,2_1_start,147
5,75,8_0_start,147
6,80,0_1_start,147
7,81,0_3_start,147
8,82,0_7_start,147
9,85,0_5_start,147
10,1,2_0_finish,154
11,39,0_1_finish,166
12,135,0_5_finish,176
13,9,2_1_finish,178
14,40,0_3_finish,180
15,131,0_7_finish,243
16,118,8_0_finish,245
17,86,8_8_start,264
18,87,8_6_start,278
19,88,8_4_start,278
20,90,8_10_start,278
21,100,1_0_start,278
22,3,8_6_finish,301
23,20,8_8_finish,306
24,46,8_10_finish,306
25,22,8_4_finish,362
26,99,1_0_finish,382
27,73,1_7_start,464
28,83,9_0_start,464
29,96,9_1_start,539
30,107,3_0_start,539
31,97,9_0_finish,550
32,132,9_1_finish,556
33,12,1_7_finish,584
34,94,3_0_finish,711
35,44,3_5_start,728
36,93,3_1_start,728
37,113,3_2_start,728
38,114,2_7_start,728
39,116,7_0_start,728
40,106,3_1_finish,739
41,168,3_2_finish,755
42,65,7_2_start,803
43,68,7_4_start,803
44,52,3_5_finish,810
45,108,2_7_finish,833
46,164,7_2_finish,890
47,72,7_8_start,913
48,15,7_4_finish,913
49,159,7_0_finish,919
50,26,6_0_start,919
51,101,7_15_start,933
52,140,5_0_start,933
53,24,7_8_finish,952
54,189,5_0_finish,1003
55,123,7_15_finish,1062
56,178,6_0_finish,1070
57,25,5_5_start,1078
58,112,6_11_start,1101
59,142,5_1_start,1101
60,144,0_4_start,1101
61,148,1_4_start,1101
62,154,4_0_start,1101
63,92,5_1_finish,1128
64,145,0_4_finish,1131
65,28,4_1_start,1159
66,31,4_2_start,1159
67,49,8_2_start,1159
68,124,6_7_start,1159
69,155,7_9_start,1159
70,158,7_1_start,1159
71,160,2_4_start,1159
72,163,2_6_start,1159
73,166,0_2_start,1159
74,167,0_6_start,1159
75,169,8_13_start,1159
76,180,8_1_start,1159
77,181,8_3_start,1159
78,184,8_7_start,1159
79,185,8_9_start,1159
80,187,8_11_start,1159
81,188,8_5_start,1159
82,71,5_5_finish,1171
83,33,8_5_finish,1182
84,117,3_3_start,1182
85,30,8_7_finish,1183
86,63,2_5_start,1183
87,120,0_6_finish,1187
88,84,8_12_start,1187
89,146,8_2_finish,1188
90,153,3_4_start,1188
91,133,8_1_finish,1189
92,61,2_3_start,1189
93,41,0_2_finish,1191
94,17,2_2_start,1191
95,36,8_3_finish,1193
96,165,7_3_start,1193
97,69,6_7_finish,1194
98,64,7_1_finish,1202
99,6,6_1_start,1202
100,161,2_4_finish,1204
101,162,2_6_finish,1205
102,130,8_11_finish,1209
103,10,7_5_start,1209
104,66,7_3_finish,1214
105,60,3_3_finish,1222
106,2,7_6_start,1222
107,79,4_1_finish,1224
108,143,1_4_finish,1226
109,62,2_5_finish,1227
110,147,3_4_finish,1228
111,50,7_9_finish,1231
112,70,6_11_finish,1233
113,57,2_3_finish,1236
114,121,8_12_finish,1237
115,8,7_7_start,1237
116,32,8_9_finish,1240
117,18,7_5_finish,1248
118,13,7_6_finish,1250
119,23,2_2_finish,1253
120,192,6_1_finish,1267
121,7,4_2_finish,1273
122,14,7_7_finish,1278
123,19,4_5_start,1281
124,35,5_4_start,1281
125,53,1_5_start,1281
126,55,9_4_start,1281
127,76,9_2_start,1281
128,77,7_12_start,1281
129,78,1_3_start,1281
130,103,1_1_start,1281
131,137,5_3_start,1281
132,138,5_2_start,1281
133,172,1_6_start,1281
134,173,9_3_start,1281
135,174,1_2_start,1281
136,171,4_0_finish,1292
137,136,8_13_finish,1300
138,74,4_5_finish,1300
139,152,9_5_start,1300
140,125,9_2_finish,1313
141,119,6_8_start,1313
142,56,9_4_finish,1321
143,126,9_3_finish,1325
144,182,5_4_finish,1329
145,21,1_6_finish,1334
146,129,1_2_finish,1334
147,95,6_10_start,1334
148,102,7_14_start,1334
149,42,5_3_finish,1338
150,110,6_9_start,1338
151,59,1_5_finish,1340
152,176,7_13_start,1340
153,127,1_1_finish,1343
154,45,7_10_start,1343
155,179,5_2_finish,1344
156,34,4_4_start,1344
157,54,1_3_finish,1345
158,157,7_11_start,1345
159,109,6_10_finish,1367
160,141,4_10_start,1367
161,98,6_9_finish,1375
162,128,7_12_finish,1376
163,27,6_3_start,1376
164,104,7_14_finish,1378
165,51,6_6_start,1378
166,111,6_8_finish,1383
167,105,7_13_finish,1389
168,150,9_5_finish,1389
169,139,4_11_start,1389
170,151,6_5_start,1389
171,149,7_10_finish,1390
172,29,6_4_start,1390
173,190,4_10_finish,1397
174,122,7_11_finish,1398
175,5,6_2_start,1398
176,43,6_5_finish,1410
177,115,4_9_start,1410
178,156,6_6_finish,1413
179,134,4_8_start,1413
180,177,6_2_finish,1418
181,191,4_3_start,1418
182,175,6_4_finish,1423
183,48,4_7_start,1423
184,4,4_3_finish,1437
185,89,4_9_finish,1443
186,186,4_8_finish,1448
187,47,4_7_finish,1458
188,67,6_3_finish,1472
189,37,4_6_start,1472
190,170,4_4_finish,1477
191,91,4_11_finish,1488
192,183,4_6_finish,1514
