,instance,it,makespan_lb,makespan_stnu,regret,rel_regret,instance_type,status
0,10_1_factory_1,0.0,540.0,1492.0,952.0,1.762962962962963,1,feasible_and_dc
1,10_1_factory_1,1.0,543.0,1504.0,961.0,1.7697974217311234,1,feasible_and_dc
2,10_1_factory_1,2.0,521.0,1480.0,959.0,1.8406909788867563,1,feasible_and_dc
3,10_1_factory_1,3.0,508.0,1502.0,994.0,1.9566929133858268,1,feasible_and_dc
4,10_1_factory_1,4.0,511.0,1513.0,1002.0,1.9608610567514677,1,feasible_and_dc
5,10_1_factory_1,5.0,517.0,1484.0,967.0,1.8704061895551258,1,feasible_and_dc
6,10_1_factory_1,6.0,526.0,1498.0,972.0,1.8479087452471483,1,feasible_and_dc
7,10_1_factory_1,7.0,528.0,1474.0,946.0,1.7916666666666667,1,feasible_and_dc
8,10_1_factory_1,8.0,543.0,1492.0,949.0,1.7476979742173113,1,feasible_and_dc
9,10_1_factory_1,9.0,514.0,1503.0,989.0,1.924124513618677,1,feasible_and_dc
10,10_1_factory_1,0.0,540.0,666.0,126.0,0.23333333333333334,2,feasible_and_dc
11,10_1_factory_1,1.0,524.0,662.0,138.0,0.2633587786259542,2,feasible_and_dc
12,10_1_factory_1,2.0,528.0,668.0,140.0,0.26515151515151514,2,feasible_and_dc
13,10_1_factory_1,3.0,540.0,678.0,138.0,0.25555555555555554,2,feasible_and_dc
14,10_1_factory_1,4.0,515.0,678.0,163.0,0.31650485436893205,2,feasible_and_dc
15,10_1_factory_1,5.0,504.0,665.0,161.0,0.3194444444444444,2,feasible_and_dc
16,10_1_factory_1,6.0,513.0,663.0,150.0,0.29239766081871343,2,feasible_and_dc
17,10_1_factory_1,7.0,515.0,661.0,146.0,0.283495145631068,2,feasible_and_dc
18,10_1_factory_1,8.0,524.0,670.0,146.0,0.2786259541984733,2,feasible_and_dc
19,10_1_factory_1,9.0,525.0,674.0,149.0,0.2838095238095238,2,feasible_and_dc
20,10_2_factory_1,0.0,586.0,748.0,162.0,0.2764505119453925,1,feasible_and_dc
