,simulator,instance,method,init,objective,stop_criterium,time,budget,seed,sequence,makespan,lateness,fitness,costs,lambda 1 ,lambda 2
0,simulator_3,20_1_factory_1,random_search,random,l1=0.5_l2=0.5,Budget,13,200.0,1,"[12, 20, 5, 6, 11, 19, 18, 10, 9, 17, 1, 15, 3, 13, 4, 16, 14, 8, 2, 7]",1013,653,833.0,833.0,0.5,0.5
1,simulator_3,20_1_factory_1,local_search,random,l1=0.5_l2=0.5,Budget,13,200.0,1,"[17, 10, 16, 11, 12, 15, 5, 18, 8, 13, 9, 1, 20, 19, 3, 14, 2, 4, 7, 6]",1001,632,816.5,816.5,0.5,0.5
2,simulator_3,20_1_factory_1,iterated_greedy,random,l1=0.5_l2=0.5,Budget,18,200.0,1,"[3, 17, 15, 9, 11, 14, 5, 18, 8, 2, 1, 20, 19, 10, 4, 16, 7, 13, 12, 6]",1046,707,876.5,876.5,0.5,0.5
3,simulator_3,20_1_factory_1,local_search,sorted,l1=0.5_l2=0.5,Budget,13,200.0,1,"[1, 2, 16, 18, 5, 20, 14, 12, 9, 10, 19, 4, 13, 11, 15, 3, 17, 8, 7, 6]",1004,636,820.0,820.0,0.5,0.5
4,simulator_3,20_1_factory_1,iterated_greedy,sorted,l1=0.5_l2=0.5,Budget,17,200.0,1,"[1, 2, 5, 3, 12, 6, 7, 8, 9, 10, 11, 4, 13, 15, 16, 18, 14, 17, 19, 20]",1018,806,912.0,912.0,0.5,0.5
5,simulator_3,20_2_factory_1,random_search,random,l1=0.5_l2=0.5,Budget,13,200.0,1,"[6, 13, 2, 19, 10, 12, 7, 3, 5, 4, 11, 1, 8, 17, 15, 9, 14, 16, 20, 18]",813,133,473.0,473.0,0.5,0.5
6,simulator_3,20_2_factory_1,local_search,random,l1=0.5_l2=0.5,Budget,12,200.0,1,"[7, 18, 4, 11, 3, 15, 5, 17, 8, 2, 14, 1, 9, 6, 10, 16, 20, 13, 12, 19]",813,120,466.5,466.5,0.5,0.5
7,simulator_3,20_2_factory_1,iterated_greedy,random,l1=0.5_l2=0.5,Budget,18,200.0,1,"[10, 3, 4, 17, 7, 11, 15, 5, 18, 8, 2, 14, 1, 20, 19, 16, 9, 13, 12, 6]",893,200,546.5,546.5,0.5,0.5
8,simulator_3,20_2_factory_1,local_search,sorted,l1=0.5_l2=0.5,Budget,12,200.0,1,"[2, 18, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 1, 19, 20]",813,120,466.5,466.5,0.5,0.5
9,simulator_3,20_2_factory_1,iterated_greedy,sorted,l1=0.5_l2=0.5,Budget,17,200.0,1,"[7, 3, 1, 2, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",813,120,466.5,466.5,0.5,0.5
10,simulator_3,20_3_factory_1,random_search,random,l1=0.5_l2=0.5,Budget,13,200.0,1,"[12, 16, 6, 2, 10, 9, 19, 11, 15, 5, 14, 20, 18, 17, 8, 13, 7, 4, 3, 1]",1258,1392,1325.0,1325.0,0.5,0.5
