,simulator,instance,method,init,objective,stop_criterium,time,budget,seed,sequence,makespan,tardiness,average_tardiness,fitness,lambda 1 ,lambda 2
0,simulator_3,20_1_factory_1,local_search,random,l1=0.5_l2=0.5,Budget,7,100,1,"[10, 7, 16, 11, 12, 15, 5, 18, 8, 13, 9, 1, 20, 19, 3, 2, 14, 4, 17, 6]",980,708,35.4,844.0,0.5,0.5
1,simulator_3,20_1_factory_1,local_search,sorted,l1=0.5_l2=0.5,Budget,7,100,1,"[1, 2, 16, 18, 5, 20, 14, 12, 9, 10, 19, 4, 13, 11, 15, 3, 17, 8, 7, 6]",1004,636,31.8,820.0,0.5,0.5
2,simulator_3,20_1_factory_1,local_search,random,l1=0.5_l2=0.5,Budget,13,200,1,"[17, 10, 16, 11, 12, 15, 5, 18, 8, 13, 9, 1, 20, 19, 3, 14, 2, 4, 7, 6]",1001,632,31.6,816.5,0.5,0.5
3,simulator_3,20_1_factory_1,local_search,sorted,l1=0.5_l2=0.5,Budget,13,200,1,"[1, 2, 16, 18, 5, 20, 14, 12, 9, 10, 19, 4, 13, 11, 15, 3, 17, 8, 7, 6]",1004,636,31.8,820.0,0.5,0.5
4,simulator_3,20_1_factory_1,local_search,random,l1=0.5_l2=0.5,Budget,26,400,1,"[17, 10, 16, 11, 12, 15, 5, 18, 8, 13, 9, 1, 20, 19, 3, 14, 2, 4, 7, 6]",1001,632,31.6,816.5,0.5,0.5
5,simulator_3,20_1_factory_1,local_search,sorted,l1=0.5_l2=0.5,Budget,27,400,1,"[1, 17, 16, 18, 5, 20, 14, 12, 9, 10, 19, 4, 13, 11, 15, 3, 2, 8, 7, 6]",1004,632,31.6,818.0,0.5,0.5
6,simulator_3,20_1_factory_1,local_search,random,l1=0.5_l2=0.5,Budget,52,800,1,"[17, 10, 16, 11, 12, 15, 5, 18, 8, 13, 9, 1, 20, 19, 3, 14, 2, 4, 7, 6]",1001,632,31.6,816.5,0.5,0.5
7,simulator_3,20_1_factory_1,local_search,sorted,l1=0.5_l2=0.5,Budget,52,800,1,"[17, 1, 16, 18, 5, 20, 14, 12, 9, 10, 19, 4, 13, 11, 15, 3, 2, 8, 7, 6]",1001,632,31.6,816.5,0.5,0.5
8,simulator_3,20_1_factory_1,local_search,random,l1=0.5_l2=0.5,Budget,65,1000,1,"[17, 10, 16, 11, 12, 15, 5, 18, 8, 13, 9, 1, 20, 19, 3, 14, 2, 4, 7, 6]",1001,632,31.6,816.5,0.5,0.5
9,simulator_3,20_1_factory_1,local_search,sorted,l1=0.5_l2=0.5,Budget,65,1000,1,"[17, 1, 16, 18, 5, 20, 14, 12, 9, 10, 19, 4, 13, 11, 15, 3, 2, 8, 7, 6]",1001,632,31.6,816.5,0.5,0.5
10,simulator_3,20_2_factory_1,local_search,random,l1=0.5_l2=0.5,Budget,6,100,1,"[18, 7, 4, 11, 3, 15, 5, 17, 8, 2, 14, 1, 9, 6, 10, 16, 20, 13, 12, 19]",816,120,6.0,468.0,0.5,0.5
11,simulator_3,20_2_factory_1,local_search,sorted,l1=0.5_l2=0.5,Budget,6,100,1,"[2, 18, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 1, 19, 20]",813,120,6.0,466.5,0.5,0.5
12,simulator_3,20_2_factory_1,local_search,random,l1=0.5_l2=0.5,Budget,13,200,1,"[7, 18, 4, 11, 3, 15, 5, 17, 8, 2, 14, 1, 9, 6, 10, 16, 20, 13, 12, 19]",813,120,6.0,466.5,0.5,0.5
13,simulator_3,20_2_factory_1,local_search,sorted,l1=0.5_l2=0.5,Budget,12,200,1,"[2, 18, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 1, 19, 20]",813,120,6.0,466.5,0.5,0.5
14,simulator_3,20_2_factory_1,local_search,random,l1=0.5_l2=0.5,Budget,25,400,1,"[7, 18, 4, 11, 3, 15, 5, 17, 8, 2, 14, 1, 9, 6, 10, 16, 20, 13, 12, 19]",813,120,6.0,466.5,0.5,0.5
15,simulator_3,20_2_factory_1,local_search,sorted,l1=0.5_l2=0.5,Budget,25,400,1,"[2, 18, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 1, 19, 20]",813,120,6.0,466.5,0.5,0.5
16,simulator_3,20_2_factory_1,local_search,random,l1=0.5_l2=0.5,Budget,50,800,1,"[7, 18, 4, 11, 3, 15, 5, 17, 8, 2, 14, 1, 9, 6, 10, 16, 20, 13, 12, 19]",813,120,6.0,466.5,0.5,0.5
17,simulator_3,20_2_factory_1,local_search,sorted,l1=0.5_l2=0.5,Budget,49,800,1,"[2, 18, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 1, 19, 20]",813,120,6.0,466.5,0.5,0.5
